,hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
0,Be Mate Paseo de Gracia,2517.0,8.9,1206.0,4.0,squares,"Gràcia, Barcelona","Penthouse Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 110m²
3 beds (2 twins, 1 queen)
Only 1 left at this price on our site"
1,Tembo Barcelona,2598.0,8.8,2660.0,4.0,stars,Barcelona,"One-Bedroom Premium Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 40m²
1 queen bed
Only 3 left at this price on our site"
2,Unite Hostel Barcelona,1079.0,8.0,8415.0,,,"Sant Martí, Barcelona","Family Room with Private Bathroom
8 bunk beds"
3,Catalonia Sagrada Familia,1207.0,8.4,9406.0,3.0,stars,"Sant Martí, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
4,NH Collection Barcelona Gran Hotel Calderon,2178.0,8.2,2920.0,5.0,stars,"Eixample, Barcelona","Superior Double or Twin Room
Beds: 1 double or 2 twins
Only 1 room left at this price on our site"
5,Vincci Gala,2411.0,8.6,3464.0,4.0,stars,"Eixample, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
Only 7 rooms left at this price on our site"
6,Vincci Maritimo,1400.0,8.4,4860.0,4.0,stars,"Sant Martí, Barcelona","Room Assigned on Arrival
1 twin bed"
7,Catalonia Barcelona 505,1493.0,8.5,3261.0,4.0,stars,"Sarrià-St. Gervasi, Barcelona","Premium Double Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site"
8,Miiro Borneta,2028.0,9.1,348.0,4.0,stars,"Ciutat Vella, Barcelona","The Classic
1 queen bed
Only 4 rooms left at this price on our site"
9,Novotel Barcelona City,1612.0,8.2,4400.0,4.0,stars,"Sant Martí, Barcelona","Standard Room
1 queen bed
Only 7 rooms left at this price on our site"
10,Oriente Atiram,1417.0,8.3,2494.0,3.0,stars,"Ciutat Vella, Barcelona","Single Standard
2 twin beds"
11,"Grand Hotel Central, Small Luxury Hotels",2466.0,8.8,1299.0,5.0,stars,"Ciutat Vella, Barcelona","Superior Twin Room
2 twin beds"
