hotel_name,neighborhood,url
Relais & Châteaux Hotel Orfila,"Chamberí, Madrid",https://www.booking.com/hotel/es/relais-chateaux-orfila.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=28165070eeaa026d&srepoch=1737804483&all_sr_blocks=9279401_203698989_0_2_0&highlighted_blocks=9279401_203698989_0_2_0&matching_block_id=9279401_203698989_0_2_0&sr_pri_blocks=9279401_203698989_0_2_0__516978&from=searchresults
El Chaflán de Vallecas,"Puente de Vallecas, Madrid",https://www.booking.com/hotel/es/el-chaflan-de-vallecas.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=28165070eeaa026d&srepoch=1737804483&all_sr_blocks=1204210601_392650436_2_0_0&highlighted_blocks=1204210601_392650436_2_0_0&matching_block_id=1204210601_392650436_2_0_0&sr_pri_blocks=1204210601_392650436_2_0_0__44348&from=searchresults
Apartamento Madrid Norte,"Fuencarral - El Pardo, Madrid",https://www.booking.com/hotel/es/apartamento-madrid-norte.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=28165070eeaa026d&srepoch=1737804483&all_sr_blocks=815825101_346236543_2_0_0&highlighted_blocks=815825101_346236543_2_0_0&matching_block_id=815825101_346236543_2_0_0&sr_pri_blocks=815825101_346236543_2_0_0__53645&from=searchresults
Estudio Madrid Norte 2,"Fuencarral - El Pardo, Madrid",https://www.booking.com/hotel/es/estudio-madrid-norte-2.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=28165070eeaa026d&srepoch=1737804483&all_sr_blocks=822661401_346222578_2_0_0&highlighted_blocks=822661401_346222578_2_0_0&matching_block_id=822661401_346222578_2_0_0&sr_pri_blocks=822661401_346222578_2_0_0__49550&from=searchresults
Market Martinez de la Riva I,"Puente de Vallecas, Madrid",https://www.booking.com/hotel/es/apartamentos-mercado-martinez-de-la-riva.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=28165070eeaa026d&srepoch=1737804483&all_sr_blocks=1100929701_403688919_2_0_0&highlighted_blocks=1100929701_403688919_2_0_0&matching_block_id=1100929701_403688919_2_0_0&sr_pri_blocks=1100929701_403688919_2_0_0__44750&from=searchresults
Albergue Miguel Ángel,"Centro de Madrid, Madrid",https://www.booking.com/hotel/es/albergue-miguel-angel-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=28165070eeaa026d&srepoch=1737804483&all_sr_blocks=1307540005_403571685_2_0_0&highlighted_blocks=1307540005_403571685_2_0_0&matching_block_id=1307540005_403571685_2_0_0&sr_pri_blocks=1307540005_403571685_2_0_0__75900&from=searchresults
Modern Apartment in Madrid,"Carabanchel, Madrid",https://www.booking.com/hotel/es/modern-apartment-in-madrid-madrid2.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=28165070eeaa026d&srepoch=1737804483&all_sr_blocks=1285401101_401470796_2_0_0&highlighted_blocks=1285401101_401470796_2_0_0&matching_block_id=1285401101_401470796_2_0_0&sr_pri_blocks=1285401101_401470796_2_0_0__53207&from=searchresults
ESTUDIOS GRAN VÍA,"Centro de Madrid, Madrid",https://www.booking.com/hotel/es/estudios-gran-via-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=28165070eeaa026d&srepoch=1737804483&all_sr_blocks=1189325604_391272261_0_0_0&highlighted_blocks=1189325604_391272261_0_0_0&matching_block_id=1189325604_391272261_0_0_0&sr_pri_blocks=1189325604_391272261_0_0_0__74529&from=searchresults
El Pozo-Villalobos Suite,"Puente de Vallecas, Madrid",https://www.booking.com/hotel/es/el-pozo-villalobos-suite.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=28165070eeaa026d&srepoch=1737804483&all_sr_blocks=360398901_320338228_2_0_0&highlighted_blocks=360398901_320338228_2_0_0&matching_block_id=360398901_320338228_2_0_0&sr_pri_blocks=360398901_320338228_2_0_0__40984&from=searchresults
Habitaciones en el centro de madrid,"Salamanca, Madrid",https://www.booking.com/hotel/es/nuevo-alojamiento.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-01&checkout=2025-10-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=28165070eeaa026d&srepoch=1737804483&all_sr_blocks=825842502_347034059_2_0_0&highlighted_blocks=825842502_347034059_2_0_0&matching_block_id=825842502_347034059_2_0_0&sr_pri_blocks=825842502_347034059_2_0_0__126000&from=searchresults
