hotel_name,neighborhood,url
Le Petit Palü-Fuencarral,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/the-petit-palu.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=accc447d4d3705db&srepoch=1737884767&all_sr_blocks=254202142_372633305_0_0_0&highlighted_blocks=254202142_372633305_0_0_0&matching_block_id=254202142_372633305_0_0_0&sr_pri_blocks=254202142_372633305_0_0_0__52744&from=searchresults
Oasis urbano en el corazón financiero / Castellana,"Tetuan, Madrid",https://www.booking.com/hotel/es/oasis-urbano-en-el-corazon-financiero-castellana.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=accc447d4d3705db&srepoch=1737884767&all_sr_blocks=1094167801_394636687_4_0_0&highlighted_blocks=1094167801_394636687_4_0_0&matching_block_id=1094167801_394636687_4_0_0&sr_pri_blocks=1094167801_394636687_4_0_0__88613&from=searchresults
Casa Real,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/casa-real-madrid.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=accc447d4d3705db&srepoch=1737884767&all_sr_blocks=1313159601_404109462_2_0_0&highlighted_blocks=1313159601_404109462_2_0_0&matching_block_id=1313159601_404109462_2_0_0&sr_pri_blocks=1313159601_404109462_2_0_0__69038&from=searchresults
"Apartamento Palacio Real de Madrid, histórico","Madrid City Center, Madrid",https://www.booking.com/hotel/es/nuevo-anuncio-apto-san-francisco-el-grande.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=accc447d4d3705db&srepoch=1737884767&all_sr_blocks=851830301_398295044_2_0_0&highlighted_blocks=851830301_398295044_2_0_0&matching_block_id=851830301_398295044_2_0_0&sr_pri_blocks=851830301_398295044_2_0_0__82623&from=searchresults
Colon Suites,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/colon-suites.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=accc447d4d3705db&srepoch=1737884767&all_sr_blocks=181464404_201886583_2_0_0&highlighted_blocks=181464404_201886583_2_0_0&matching_block_id=181464404_201886583_2_0_0&sr_pri_blocks=181464404_201886583_2_0_0__94575&from=searchresults
New apartment in center Madrid!,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/new-apartment-in-center-madrid.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=accc447d4d3705db&srepoch=1737884767&all_sr_blocks=932785301_406583264_2_0_0&highlighted_blocks=932785301_406583264_2_0_0&matching_block_id=932785301_406583264_2_0_0&sr_pri_blocks=932785301_406583264_2_0_0__91728&from=searchresults
Estudio Madrid Norte 2,"Fuencarral-El Pardo, Madrid",https://www.booking.com/hotel/es/estudio-madrid-norte-2.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=accc447d4d3705db&srepoch=1737884767&all_sr_blocks=822661401_346222578_2_0_0&highlighted_blocks=822661401_346222578_2_0_0&matching_block_id=822661401_346222578_2_0_0&sr_pri_blocks=822661401_346222578_2_0_0__49550&from=searchresults
apartamento ventas,"Ciudad Lineal, Madrid",https://www.booking.com/hotel/es/apartamento-ventas-madrid2.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=accc447d4d3705db&srepoch=1737884767&all_sr_blocks=1223467601_394476582_4_0_0&highlighted_blocks=1223467601_394476582_4_0_0&matching_block_id=1223467601_394476582_4_0_0&sr_pri_blocks=1223467601_394476582_4_0_0__57239&from=searchresults
Apartamento centro Madrid,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/apartamento-centro-madrid-madrid5.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=accc447d4d3705db&srepoch=1737884767&all_sr_blocks=1292456101_402193605_2_0_0&highlighted_blocks=1292456101_402193605_2_0_0&matching_block_id=1292456101_402193605_2_0_0&sr_pri_blocks=1292456101_402193605_2_0_0__64299&from=searchresults
APARTAMENTOS SAN ANDRES,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/apartamentos-san-andres-madrid.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=accc447d4d3705db&srepoch=1737884767&all_sr_blocks=813244724_343663553_3_0_0&highlighted_blocks=813244724_343663553_3_0_0&matching_block_id=813244724_343663553_3_0_0&sr_pri_blocks=813244724_343663553_3_0_0__80300&from=searchresults
