hotel_name,price_euros,rating,neighborhood
Hotel Paxton Barcelona,1.58,8.8,"Sant Martí, Barcelona"
Tembo Barcelona,1.402,8.8,Barcelona
Unite Hostel Barcelona,1.308,8.0,"Sant Martí, Barcelona"
Mercer House Bòria BCN,2.968,8.1,"Ciutat Vella, Barcelona"
Hotel 1898,2.729,8.9,"Ciutat Vella, Barcelona"
Axel TWO Barcelona 4 Sup - Adults Only,1.587,8.3,"Eixample, Barcelona"
Ohla Barcelona,3.173,9.1,"Ciutat Vella, Barcelona"
TSA La Rambla,1.987,9.1,"Ciutat Vella, Barcelona"
Leonardo Hotel Barcelona Gran Via,1.853,8.6,"Eixample, Barcelona"
Ohla Eixample,2.409,8.9,"Eixample, Barcelona"
Vincci Bit,1.29,8.5,"Sant Martí, Barcelona"
ME Barcelona,3.878,9.1,"Eixample, Barcelona"
Cosmo Apartments Rambla Catalunya,4.874,8.4,"Eixample, Barcelona"
Hostal Las Flores Ramblas,1.439,8.3,"Ciutat Vella, Barcelona"
El Palauet Royal Suites,6.866,9.0,"Gracia, Barcelona"
Mercedes Heritage Apartments,3.236,8.7,"Eixample, Barcelona"
Blue Barcelona,1.674,8.1,"Sarrià-Sant Gervasi, Barcelona"
Generator Barcelona,1.424,7.7,"Gracia, Barcelona"
Travelodge Barcelona Poblenou,1.129,7.3,"Sant Martí, Barcelona"
Hotel & Spa Villa Olimpica Suites,1.436,8.0,"Sant Martí, Barcelona"
Catalonia Barcelona 505,1.548,8.5,"Sarrià-Sant Gervasi, Barcelona"
Vincci Maritimo,1.727,8.4,"Sant Martí, Barcelona"
Golden Hotel Barcelona,1.404,8.3,"Sant Martí, Barcelona"
Hotel Villa Emilia,1.701,8.9,"Eixample, Barcelona"
"Grand Hotel Central, Small Luxury Hotels",2.453,8.8,"Ciutat Vella, Barcelona"
Hotel Barcelona Universal,1.57,8.3,"Ciutat Vella, Barcelona"
Casa Gracia,1.053,8.3,"Gracia, Barcelona"
Pol & Grace Hotel,1.417,8.2,"Sarrià-Sant Gervasi, Barcelona"
Vincci Gala,1.989,8.6,"Eixample, Barcelona"
BARCELONA GOTIC Guesthouse,679.0,7.7,"Ciutat Vella, Barcelona"
Pensión Villanueva,948.0,7.2,"Ciutat Vella, Barcelona"
HCC Taber,1.346,8.6,"Eixample, Barcelona"
Hotel Astoria,1.393,8.4,"Eixample, Barcelona"
Oriente Atiram,1.483,8.3,"Ciutat Vella, Barcelona"
Novotel Barcelona City,2.215,8.2,"Sant Martí, Barcelona"
Catalonia La Boquería,1.695,8.3,"Ciutat Vella, Barcelona"
Hotel Via Augusta,1.447,8.4,"Sarrià-Sant Gervasi, Barcelona"
Hotel Lyon,1.161,7.2,"Ciutat Vella, Barcelona"
Europark,1.581,8.7,"Eixample, Barcelona"
BruStar Gotic-Centric,1.004,7.5,"Eixample, Barcelona"
Sallés Hotel Pere IV,1.64,8.1,"Sant Martí, Barcelona"
Occidental Atenea Mar - Adults Only,1.384,8.2,"Sant Martí, Barcelona"
Hotel Nuevo Triunfo,1.484,7.8,"Sants-Montjuïc, Barcelona"
Hostal Operaramblas,1.24,8.8,"Ciutat Vella, Barcelona"
