hotel_name,price_euros,rating,neighborhood
Apartamentos EconoStay Plaza de España,457.0,7.3,"Centro de Madrid, Madrid"
Live it Madrid Gran Vía,339.0,6.9,"Centro de Madrid, Madrid"
Apartamentos EconoStay Barbieri 1,398.0,6.1,"Centro de Madrid, Madrid"
Apartamentos SmartRenting Justicia,389.0,6.6,"Centro de Madrid, Madrid"
Urban Inn Madrid,287.0,7.4,"Centro de Madrid, Madrid"
Hostal Flat55Madrid,637.0,8.0,"Centro de Madrid, Madrid"
ITC Infantas by Soho Boutique,1.073,8.2,"Centro de Madrid, Madrid"
Quatro Puerta del Sol,1.014,8.5,"Centro de Madrid, Madrid"
ITC Mora by Soho Boutique,810.0,7.8,"Centro de Madrid, Madrid"
Hostal New Dream Madrid,636.0,7.9,"Centro de Madrid, Madrid"
JC Rooms Santa Ana,708.0,8.0,"Centro de Madrid, Madrid"
Chueca Apartment,720.0,8.2,"Centro de Madrid, Madrid"
Apartamentos EconoStay Fuencarral,435.0,6.4,"Centro de Madrid, Madrid"
Hotel Princesa Plaza Madrid,1.147,8.2,"Centro de Madrid, Madrid"
Hotel Cortezo,1.15,8.3,"Centro de Madrid, Madrid"
Apartamento en Carretas - Puerta del Sol,2.466,8.8,"Centro de Madrid, Madrid"
Hostal Inn Madrid,1.043,8.4,"Centro de Madrid, Madrid"
CC Opera Suites,744.0,8.5,"Centro de Madrid, Madrid"
Hostal Adis,948.0,8.4,"Centro de Madrid, Madrid"
JC Rooms Santo Domingo,820.0,7.9,"Centro de Madrid, Madrid"
Hostal Aguilar,1.01,9.0,"Centro de Madrid, Madrid"
Hostal Jemasaca-Palma61,556.0,6.9,"Centro de Madrid, Madrid"
Cats Hostel Madrid Sol,1.022,8.2,"Centro de Madrid, Madrid"
Catalonia Atocha,1.22,8.8,"Centro de Madrid, Madrid"
Exe Suites 33,879.0,8.7,"Centro de Madrid, Madrid"
JQC Rooms,541.0,7.4,"Centro de Madrid, Madrid"
Hostal Arenal Madrid,744.0,8.3,"Centro de Madrid, Madrid"
Axel Hotel Madrid - Adults Only,1.039,8.3,"Centro de Madrid, Madrid"
Room Plaza España,859.0,8.6,"Centro de Madrid, Madrid"
Smartrental Collection Gran Vía Centric,1.292,8.9,"Centro de Madrid, Madrid"
CH CRUZ MADRiD,685.0,7.9,"Centro de Madrid, Madrid"
Sterling,912.0,8.0,"Centro de Madrid, Madrid"
CH Rayuela,806.0,8.0,"Centro de Madrid, Madrid"
Eurostars Central,1.088,8.4,"Centro de Madrid, Madrid"
Luz Madrid Rooms,614.0,8.2,"Centro de Madrid, Madrid"
Akeah Hotel Gran Vía,1.444,8.7,"Centro de Madrid, Madrid"
