hotel_name,price_euros,rating,neighborhood
Casa Bar,651.0,8.4,"Fuencarral-El Pardo, Madrid"
EG14 piso 2 dormitorios WIFI Fibra AC,635.0,8.0,"Chamberi, Madrid"
Live it Madrid Gran Vía,412.0,6.9,"Madrid City Center, Madrid"
Apartamentos EconoStay Plaza de España,557.0,7.3,"Madrid City Center, Madrid"
BHost - Ferraz 74,840.0,8.2,"Moncloa-Aravaca, Madrid"
Dobo Homes - PA4,546.0,7.9,"Chamartín, Madrid"
Apartamento en Madrid Centro,717.0,8.3,"Madrid City Center, Madrid"
Modern apartment-1Bedroom 1Bathroom-Tetuán,574.0,7.6,"Tetuan, Madrid"
BG5 Estudio Arguelles Moncloa,500.0,6.0,"Chamberi, Madrid"
Elba Madrid Alcalá,945.0,8.9,"San Blas, Madrid"
Apartamentos Juan Bravo,776.0,8.4,"Salamanca, Madrid"
B&B HOTEL Madrid Carabanchel,537.0,9.2,"Carabanchel, Madrid"
4C Bravo Murillo,720.0,8.2,"Tetuan, Madrid"
TravelStep General Ricardos,441.0,7.6,"Carabanchel, Madrid"
LA LATINA - PLAZA MAYOR - CENTRICAL - MONTHS TOO,754.0,8.1,"Madrid City Center, Madrid"
NH Madrid Ventas,995.0,8.6,"Salamanca, Madrid"
Catalonia Atocha,1430.0,8.8,"Madrid City Center, Madrid"
Zenit Abeba,1173.0,8.8,"Salamanca, Madrid"
Duke Vallehermoso,758.0,7.9,"Chamberi, Madrid"
Hostal Flat55Madrid,738.0,8.0,"Madrid City Center, Madrid"
Dear Hotel Madrid,1379.0,8.8,"Madrid City Center, Madrid"
Ibis Madrid Centro las Ventas,858.0,8.2,"Salamanca, Madrid"
Apartamentos Soho Boutique Hoy No Me Puedo Levantar,1316.0,8.5,"Madrid City Center, Madrid"
Catalonia Puerta del Sol,1510.0,8.9,"Madrid City Center, Madrid"
Lemon Apartment & Hotels Bernabeu,964.0,9.4,"Tetuan, Madrid"
Gran Versalles,1019.0,8.6,"Chamberi, Madrid"
Avenida De America Tijcal,893.0,8.6,"Salamanca, Madrid"
Eurostars Madrid Gran Vía,1127.0,8.7,"Madrid City Center, Madrid"
AC Hotel Avenida de América by Marriott,1287.0,8.8,"Salamanca, Madrid"
ITC Infantas by Soho Boutique,1445.0,8.2,"Madrid City Center, Madrid"
Tribu Malasaña,1205.0,8.9,"Madrid City Center, Madrid"
Urban Inn Madrid,331.0,7.3,"Madrid City Center, Madrid"
Preciados,1439.0,8.9,"Madrid City Center, Madrid"
Motel One Madrid-Plaza de España,1173.0,8.8,"Moncloa-Aravaca, Madrid"
Exe Moncloa,1076.0,8.3,"Chamberi, Madrid"
Ibis Styles Madrid City Las Ventas,819.0,8.6,"Ciudad Lineal, Madrid"
Exe Plaza,1007.0,8.7,"Tetuan, Madrid"
Hotel Santo Domingo,1085.0,7.6,"Madrid City Center, Madrid"
Abba Madrid,1180.0,8.7,"Salamanca, Madrid"
Homelike Las Letras,842.0,7.9,"Madrid City Center, Madrid"
"Hotel Madrid Chamartín, Affiliated by Meliá",1069.0,8.2,"Chamartín, Madrid"
Beautiful studio in Tetuan for 2 pax - Bj A,667.0,8.3,"Tetuan, Madrid"
Ilunion Suites Madrid,995.0,8.5,"Chamartín, Madrid"
Hostal Adis,1125.0,8.4,"Madrid City Center, Madrid"
Catalonia Gran Vía Madrid,1550.0,8.7,"Madrid City Center, Madrid"
Edificio Leganitos,1070.0,8.1,"Madrid City Center, Madrid"
Ilunion Alcalá Norte,934.0,8.9,"San Blas, Madrid"
Barceló Torre de Madrid,1216.0,8.9,"Moncloa-Aravaca, Madrid"
AC Hotel Madrid Feria by Marriott,1080.0,8.6,"Hortaleza, Madrid"
Dobo Homes - HOR7,647.0,8.7,"Chamartín, Madrid"
Catalonia El Retiro,970.0,8.9,"Retiro, Madrid"
T-Homes Salamanca,838.0,9.0,"Tetuan, Madrid"
BM9 Piso 1 dormitorio Chamberi,550.0,7.0,"Chamberi, Madrid"
Hostal New Dream Madrid,867.0,7.9,"Madrid City Center, Madrid"
Espahotel Plaza Basílica,1112.0,8.5,"Tetuan, Madrid"
Sercotel Togumar,951.0,8.4,"Chamartín, Madrid"
Apartamentos Recoletos,891.0,7.6,"Salamanca, Madrid"
Aparto-Hotel Rosales,1160.0,8.9,"Moncloa-Aravaca, Madrid"
Hostal New Life Madrid,687.0,7.5,"Madrid City Center, Madrid"
ITC Mora by Soho Boutique,1109.0,7.8,"Madrid City Center, Madrid"
Eurostars Central,1130.0,8.4,"Madrid City Center, Madrid"
Ilunion Atrium,933.0,8.5,"Ciudad Lineal, Madrid"
Agora Juan de Austria,1103.0,8.4,"Chamberi, Madrid"
Ilunion Pio XII,839.0,8.7,"Chamartín, Madrid"
Catalonia Plaza Mayor,1550.0,9.0,"Madrid City Center, Madrid"
Minty Stay - Galdo,987.0,9.2,"Madrid City Center, Madrid"
Apartamento confortable y funcional en Vallecas,834.0,9.1,"Puente de Vallecas, Madrid"
Novotel Madrid City Las Ventas,840.0,8.6,"Ciudad Lineal, Madrid"
One Shot Luchana,1134.0,7.9,"Chamberi, Madrid"
Palacio Tirso de Molina - THE ARC COLLECTION,2508.0,9.2,"Madrid City Center, Madrid"
Vincci Soma,1851.0,8.2,"Salamanca, Madrid"
Apartamentos EconoStay Barbieri 1,441.0,6.1,"Madrid City Center, Madrid"
Hostal 4C Cuatro Caminos,630.0,8.3,"Tetuan, Madrid"
Cozy and central- 1 bedroom 1 bathroom - Chueca,1137.0,8.6,"Madrid City Center, Madrid"
Oshun Sanchinarro,534.0,7.6,"Hortaleza, Madrid"
Grupotel Mayorazgo,1366.0,8.8,"Madrid City Center, Madrid"
Hotel Acta Madfor,1022.0,8.4,"Moncloa-Aravaca, Madrid"
Bob W Chueca,887.0,8.8,"Madrid City Center, Madrid"
8Rooms Madrid,795.0,8.1,"Retiro, Madrid"
Exe Madrid Norte,701.0,8.6,"Hortaleza, Madrid"
MH Apartments Soho Madrid,1493.0,8.9,"Salamanca, Madrid"
PACOROOMS,946.0,8.6,"Madrid City Center, Madrid"
Hostal Charlotte-Gran Vía,972.0,7.9,"Madrid City Center, Madrid"
Hostal Arrate,761.0,7.9,"Chamberi, Madrid"
Ikonik Gran Vía,1288.0,8.8,"Madrid City Center, Madrid"
Catalonia Goya,1710.0,8.9,"Salamanca, Madrid"
Eurostars Suites Mirasierra,1325.0,8.9,"Fuencarral-El Pardo, Madrid"
Dormirdcine,1143.0,8.7,"Salamanca, Madrid"
LV5B Piso 1 dormitorio WIFI FIBRA Chamberi,510.0,5.5,"Chamberi, Madrid"
Style Madrid Center Santiago Bernabeu,897.0,8.9,"Tetuan, Madrid"
Argüelles Apartment,1027.0,8.5,"Moncloa-Aravaca, Madrid"
Home Art Apartments Salamanca,1209.0,8.2,"Salamanca, Madrid"
Roisa Hostal Boutique,769.0,8.0,"Chamartín, Madrid"
SUITES YOU Soho,725.0,7.5,"Madrid City Center, Madrid"
Apartamentos Apolo,1358.0,8.7,"Madrid City Center, Madrid"
Relais & Châteaux Hotel Orfila,3355.0,9.3,"Chamberi, Madrid"
Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña,927.0,6.3,"Madrid City Center, Madrid"
L&H La Latina Selection,1321.0,8.8,"Madrid City Center, Madrid"
Stayaday Apartments Albufera,786.0,8.7,"Puente de Vallecas, Madrid"
GVH5 Estudio 2 pisos Centro WIFI,490.0,5.1,"Chamberi, Madrid"
"Casa de las Artes, member of Meliá Collection",2189.0,8.8,"Madrid City Center, Madrid"
Leonardo Hotel Madrid City Center,1109.0,8.4,"Chamberi, Madrid"
H-A Aparthotel Hotel Quo,921.0,8.2,"Salamanca, Madrid"
"Holiday Inn Express - Madrid - Airport, an IHG Hotel",682.0,8.8,"San Blas, Madrid"
The Social Hub Madrid,1156.0,8.8,"Moncloa-Aravaca, Madrid"
4Torres Homes - Carmen,756.0,9.1,"Fuencarral-El Pardo, Madrid"
Eurostars Casa de la Lírica,1341.0,8.6,"Madrid City Center, Madrid"
Petit Palace Arturo Soria Alcalá,1315.0,8.7,"Ciudad Lineal, Madrid"
NYX Hotel Madrid by Leonardo Hotels,1120.0,8.4,"Tetuan, Madrid"
ARTIEM Madrid,1007.0,9.4,"Ciudad Lineal, Madrid"
Estudio RetiroIbiza I,861.0,7.7,"Retiro, Madrid"
Wind Rose 7 - reformado Julio 2024,544.0,9.3,"Puente de Vallecas, Madrid"
Claridge Madrid,1326.0,8.7,"Retiro, Madrid"
Encantador ático en el centro de Madrid by beBalmy,735.0,7.2,"Madrid City Center, Madrid"
NH Madrid Zurbano,1381.0,8.4,"Chamberi, Madrid"
Modern Bright - 1Bedroom 1 Bathroom - La Latina,1032.0,9.0,"Madrid City Center, Madrid"
Sercotel Gran Hotel Conde Duque,1442.0,8.4,"Chamberi, Madrid"
JC Rooms Santa Ana,914.0,8.0,"Madrid City Center, Madrid"
Vincci Soho,1940.0,8.7,"Madrid City Center, Madrid"
1881 Madrid Ventas Hotel,1200.0,8.9,"Ciudad Lineal, Madrid"
Eurostars Madrid Tower,1780.0,8.8,"Fuencarral-El Pardo, Madrid"
T-Homes - Cuenca,838.0,9.1,"Tetuan, Madrid"
Eurostars Monte Real,836.0,8.7,"Fuencarral-El Pardo, Madrid"
Apartamentos con encanto en La Latina,1255.0,7.2,"Madrid City Center, Madrid"
Hotel Avenida Gran Vía,1126.0,8.1,"Madrid City Center, Madrid"
Encantador estudio Chamartin,691.0,8.8,"Ciudad Lineal, Madrid"
NH Paseo de la Habana,1072.0,8.1,"Chamartín, Madrid"
BYPILLOW Velázquez 45,1340.0,8.6,"Salamanca, Madrid"
Charming Gran Vía V - Largas Estancias,865.0,7.0,"Madrid City Center, Madrid"
Travelodge Madrid Metropolitano,584.0,8.3,"San Blas, Madrid"
Alianza Suites,649.0,9.2,"Villaverde, Madrid"
Porcel Torre Garden,655.0,8.5,"Ciudad Lineal, Madrid"
Hostal Manuela by Gaiarooms,868.0,7.6,"Madrid City Center, Madrid"
Beautiful duplex in the center,812.0,,"Madrid City Center, Madrid"
NH Madrid Ribera del Manzanares,1118.0,8.6,"Arganzuela, Madrid"
Pestana CR7 Gran Vía Madrid,1562.0,8.4,"Madrid City Center, Madrid"
Sercotel Alcalá 611,909.0,8.5,"San Blas, Madrid"
Funway Academic Resort,821.0,7.6,"Tetuan, Madrid"
AC Hotel Los Vascos by Marriott,1024.0,8.7,"Moncloa-Aravaca, Madrid"
Bright- 1Bd 1Bth furnished - Sol,1192.0,8.3,"Madrid City Center, Madrid"
Estudio en Plaza de España,882.0,8.6,"Moncloa-Aravaca, Madrid"
Violeta Suite,828.0,8.9,"Latina, Madrid"
Dobo Homes - EG13,681.0,8.7,"Puente de Vallecas, Madrid"
Hostal Josefina-Gran Vía,961.0,7.5,"Madrid City Center, Madrid"
Gran Central Suites,977.0,8.0,"Madrid City Center, Madrid"
Sercotel Madrid Aeropuerto,868.0,8.5,"Barajas, Madrid"
Bob W Arte,1000.0,9.2,"Arganzuela, Madrid"
Regente Hotel,1281.0,8.5,"Madrid City Center, Madrid"
Hostal A Nuestra Senora de La Paloma,1411.0,8.4,"Madrid City Center, Madrid"
Oriente Palace Apartments,1847.0,9.0,"Madrid City Center, Madrid"
Horoko Apartments by Gaiarooms,841.0,8.1,"Tetuan, Madrid"
H10 Puerta de Alcalá,1605.0,8.6,"Salamanca, Madrid"
Hotel Regina,2318.0,9.3,"Madrid City Center, Madrid"
Luze Castellana,1065.0,8.4,"Tetuan, Madrid"
Apartamento con terraza céntrico moderno Nuevo,683.0,8.8,"Tetuan, Madrid"
NH Barajas Airport,791.0,8.4,"Barajas, Madrid"
MH Apartments Central Madrid,1933.0,8.9,"Madrid City Center, Madrid"
Charming Circo Price,688.0,7.6,"Madrid City Center, Madrid"
NH Collection Madrid Abascal,1478.0,8.8,"Chamberi, Madrid"
Apartamentos SmartRenting Justicia,441.0,6.6,"Madrid City Center, Madrid"
Veracruz Puerta del Sol,1186.0,8.0,"Madrid City Center, Madrid"
Eco Via Lusitana,704.0,8.2,"Carabanchel, Madrid"
CC Opera Suites,891.0,8.5,"Madrid City Center, Madrid"
Dobo Homes - D14,1007.0,8.0,"Madrid City Center, Madrid"
Homeclub Modern Flat by Prado Museum & Retiro Moratin V,1043.0,9.0,"Madrid City Center, Madrid"
L&G Madrid Apartments,1784.0,8.6,"Arganzuela, Madrid"
Be Casa - Valdebebas,682.0,8.8,"Hortaleza, Madrid"
Hostal La Rúa-Montera,1063.0,8.7,"Madrid City Center, Madrid"
Siete Monos,1116.0,8.8,"Madrid City Center, Madrid"
NH Madrid Balboa,1424.0,8.6,"Salamanca, Madrid"
Avani Alonso Martinez Madrid hotel -previously NH Alonso Martinez,1537.0,8.6,"Chamberi, Madrid"
Hostal Castilla I Atocha,975.0,7.8,"Madrid City Center, Madrid"
Apartamentos Madrid Connection - Universidad by Oshun Apartments,581.0,7.7,"Tetuan, Madrid"
Hostal Jemasaca-Palma61,637.0,6.9,"Madrid City Center, Madrid"
ICON Wipton,2586.0,8.9,"Salamanca, Madrid"
SabiaNatura - boutiqueMadrid,939.0,7.8,"Madrid City Center, Madrid"
Porcel Ganivet,945.0,8.8,"Madrid City Center, Madrid"
Apartamentos Centro Jardines,1014.0,8.3,"Madrid City Center, Madrid"
Estudio acogedor y céntrico- 1B - Malasaña,943.0,8.3,"Madrid City Center, Madrid"
BYPILLOW Crosstown,1312.0,8.7,"Madrid City Center, Madrid"
The Bridge Huertas,902.0,7.4,"Madrid City Center, Madrid"
Vincci Vía - 66,1935.0,8.7,"Madrid City Center, Madrid"
Hostal Escala Suites,742.0,8.1,"Hortaleza, Madrid"
NH Madrid Principe de Vergara,1409.0,8.5,"Salamanca, Madrid"
Be Mate Gran Vía Suites,1187.0,8.6,"Madrid City Center, Madrid"
Hostal PETITE MAMAN,776.0,7.6,"Madrid City Center, Madrid"
Aspasios Calle Mayor Apartments,1193.0,9.0,"Madrid City Center, Madrid"
Petit Palace Cliper-Gran Vía,1560.0,8.2,"Madrid City Center, Madrid"
"Bonito, Práctico y muy bien comunicado",1195.0,9.1,"Moratalaz, Madrid"
Charming Puerta de Toledo VII - Estancias Temporales,1014.0,8.0,"Arganzuela, Madrid"
Abalú Design Boutique Hotel Gran Via,1040.0,7.9,"Madrid City Center, Madrid"
Olavide en Madrid,1122.0,8.3,"Chamberi, Madrid"
Estudios Arturo Soria by Rent Me,682.0,7.7,"Ciudad Lineal, Madrid"
AC Hotel Atocha by Marriott,1440.0,8.7,"Arganzuela, Madrid"
Petit Palace Plaza Mayor,1616.0,8.3,"Madrid City Center, Madrid"
Hostal Abadia Madrid,999.0,8.6,"Madrid City Center, Madrid"
Collection Plaza de España,1183.0,7.2,"Madrid City Center, Madrid"
Apartamentos EconoStay Fuencarral,475.0,6.4,"Madrid City Center, Madrid"
Hotel Sancho,1232.0,8.7,"Arganzuela, Madrid"
H-A San Mateo Suites,763.0,7.7,"Madrid City Center, Madrid"
7 Islas Hotel,1512.0,8.8,"Madrid City Center, Madrid"
"voco Madrid Retiro, an IHG Hotel",1346.0,8.7,"Retiro, Madrid"
Exe Suites 33,1088.0,8.7,"Madrid City Center, Madrid"
Pierre & Vacances Apartamentos Edificio Eurobuilding 2,949.0,8.6,"Tetuan, Madrid"
Vincci Capitol,1887.0,8.7,"Madrid City Center, Madrid"
Modern comfy-1bedroom 1bathroom-Prosperidad,700.0,7.2,"Chamartín, Madrid"
Hostal Centro Sol Madrid,966.0,8.8,"Madrid City Center, Madrid"
Plaza de España Skyline,1259.0,9.2,"Moncloa-Aravaca, Madrid"
Hotel Madrid Río,851.0,7.3,"Usera, Madrid"
Senator Barajas,799.0,7.9,"Barajas, Madrid"
GAC3 Estudio Chamberi WIFI Fibra,490.0,4.3,"Chamberi, Madrid"
Hostal Victoria III,867.0,8.2,"Madrid City Center, Madrid"
Globales Acis y Galatea,1046.0,7.9,"Hortaleza, Madrid"
JC Rooms Chueca,978.0,8.2,"Madrid City Center, Madrid"
Modern Cozy - 1Bedroom 1Bathroom - Lavapies,853.0,8.4,"Madrid City Center, Madrid"
Petit Palace Plaza España,1471.0,8.0,"Madrid City Center, Madrid"
Ola Living Hostal Tetuan,743.0,8.3,"Moncloa-Aravaca, Madrid"
Hostal Arenal Madrid,1091.0,8.3,"Madrid City Center, Madrid"
Modern and cozy-1Bedroom 1Bathroom-Azca,838.0,7.4,"Tetuan, Madrid"
Exclusive Rooms in the Heart of the City,949.0,7.3,"Chamberi, Madrid"
The Westin Madrid Cuzco,1807.0,8.8,"Tetuan, Madrid"
Eurostars Plaza Mayor,1269.0,8.6,"Madrid City Center, Madrid"
Vincci The Mint,2009.0,9.1,"Madrid City Center, Madrid"
Minty Stay - Hortaleza Studio,851.0,7.9,"Madrid City Center, Madrid"
Canillas - Mintystay Apartments,968.0,8.4,"Chamartín, Madrid"
Home Art Apartments Bernabéu,1148.0,9.3,"Tetuan, Madrid"
H10 Tribeca,1035.0,8.7,"Tetuan, Madrid"
Exe Convention Plaza Madrid,975.0,8.1,"Fuencarral-El Pardo, Madrid"
Soho Boutique Congreso,1378.0,8.6,"Madrid City Center, Madrid"
Petit Palace President Castellana,1281.0,7.5,"Salamanca, Madrid"
Dobo Homes - VN17,625.0,8.0,"Ciudad Lineal, Madrid"
Melia Madrid Serrano,1824.0,8.7,"Salamanca, Madrid"
