hotel_name,price_euros,rating,neighborhood
The First One Madrid Preciados,1.207,8.5,"Centro de Madrid, Madrid"
EG14 piso 2 dormitorios WIFI Fibra AC,635.0,8.0,"Chamberí, Madrid"
BG5 Estudio Arguelles Moncloa,500.0,6.0,"Chamberí, Madrid"
Apartamentos EconoStay Plaza de España,557.0,7.3,"Centro de Madrid, Madrid"
Live it Madrid Gran Vía,412.0,6.9,"Centro de Madrid, Madrid"
Modern apartment-1Bedroom 1Bathroom-Tetuán,574.0,7.6,"Tetuán, Madrid"
LV5B Piso 1 dormitorio WIFI FIBRA Chamberi,510.0,5.5,"Chamberí, Madrid"
Elba Madrid Alcalá,945.0,8.9,"San Blas, Madrid"
4C Bravo Murillo,720.0,8.2,"Tetuán, Madrid"
B&B HOTEL Madrid Carabanchel,537.0,9.2,"Carabanchel, Madrid"
GVH5 Estudio 2 pisos Centro WIFI,490.0,5.1,"Chamberí, Madrid"
BHost - Ferraz 74,840.0,8.2,"Moncloa - Aravaca, Madrid"
BM9 Piso 1 dormitorio Chamberi,550.0,7.0,"Chamberí, Madrid"
Oshun Sanchinarro,541.0,7.7,"Hortaleza, Madrid"
Hostal Flat55Madrid,815.0,8.0,"Centro de Madrid, Madrid"
Zenit Abeba,1.173,8.8,"Salamanca, Madrid"
Urban Inn Madrid,331.0,7.4,"Centro de Madrid, Madrid"
Duke Vallehermoso,812.0,7.9,"Chamberí, Madrid"
Dobo Homes - PA4,550.0,7.9,"Chamartín, Madrid"
Wind Rose 7 - reformado Julio 2024,544.0,9.3,"Puente de Vallecas, Madrid"
Lemon Apartment & Hotels Bernabeu,964.0,9.4,"Tetuán, Madrid"
Ibis Madrid Centro las Ventas,856.0,8.2,"Salamanca, Madrid"
Hostal New Dream Madrid,867.0,7.9,"Centro de Madrid, Madrid"
Exe Plaza,961.0,8.7,"Tetuán, Madrid"
Dear Hotel Madrid,1.379,8.8,"Centro de Madrid, Madrid"
ITC Infantas by Soho Boutique,1.445,8.2,"Centro de Madrid, Madrid"
Hostal Adis,1.241,8.4,"Centro de Madrid, Madrid"
