hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
Be Mate Paseo de Gracia,2048.0,8.9,1206.0,4.0,squares,"Gràcia, Barcelona","Queen Room
1 queen bed
Only 1 room left at this price on our site"
Four Points by Sheraton Barcelona Airport,788.0,8.7,552.0,,,Barcelona,"King Room
1 king bed
Only 5 rooms left at this price on our site"
Travelodge Barcelona Poblenou,839.0,7.3,9974.0,1.0,stars,"Sant Martí, Barcelona","Double Room
1 full bed"
Motel One Barcelona-Ciutadella,1320.0,8.8,11216.0,3.0,stars,"Sant Martí, Barcelona","Double Room
1 full bed
Free cancellation
No prepayment needed – pay at the property"
BCN2STAY Apartments,761.0,7.8,305.0,3.0,squares,"Ciutat Vella, Barcelona","Studio
Entire studio • 1 bathroom • 1 kitchen • 20m²
1 full bed
Only 1 left at this price on our site"
htop BCN City #htopEnjoy,810.0,6.3,884.0,2.0,stars,"Horta-Guinardó, Barcelona","Double Room
1 full bed
Free cancellation"
Silken Sant Gervasi,930.0,8.6,2463.0,3.0,stars,"Sarrià-St. Gervasi, Barcelona","Standard Twin Room
2 twin beds"
HOSTAL BEDMATES,839.0,8.3,3879.0,2.0,stars,"Sants-Montjuïc, Barcelona","Premium Twin Room with View
2 twin beds
Only 3 rooms left at this price on our site"
NH Barcelona Diagonal Center,1064.0,8.2,2290.0,3.0,stars,"Sant Martí, Barcelona","Standard Double or Twin Room
Beds: 1 double or 2 twins"
Catalonia Park Güell,917.0,7.8,5772.0,3.0,stars,"Gràcia, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
Catalonia Sagrada Familia,1082.0,8.4,9406.0,3.0,stars,"Sant Martí, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
Catalonia Albeniz,1117.0,8.4,2802.0,3.0,stars,"Sant Martí, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
Catalonia Atenas,1058.0,8.3,8113.0,4.0,stars,"Sant Martí, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
Hostal BESTPRICE Barcelona Stadium,625.0,8.4,2048.0,1.0,stars,"Les Corts, Barcelona","Double or Twin Room
2 twin beds
Only 4 rooms left at this price on our site"
Catalonia Barcelona 505,1208.0,8.5,3261.0,4.0,stars,"Sarrià-St. Gervasi, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
Catalonia Roma,1187.0,8.4,2447.0,3.0,stars,"Eixample, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
Catalonia Diagonal Centro,1438.0,8.7,3448.0,4.0,stars,"Eixample, Barcelona","Double Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
Moxy Barcelona,1199.0,8.1,1228.0,4.0,stars,"Sants-Montjuïc, Barcelona","Moxy Queen Room with Balcony
1 queen bed"
Abba Garden,849.0,8.4,3168.0,4.0,stars,Barcelona,"Room Assigned on Arrival
1 twin bed"
Sallés Hotel Pere IV,1334.0,8.1,8451.0,4.0,stars,"Sant Martí, Barcelona","Deluxe Double Room with Spa Access
Multiple bed types
Free cancellation"
Hotel Viladomat,1107.0,7.6,3973.0,3.0,stars,"Eixample, Barcelona","Basic Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
Casa Bella Gracia by Aspasios,1140.0,8.4,260.0,,,"Gràcia, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Only 2 rooms left at this price on our site"
Ciutat Vella,1304.0,8.0,4602.0,3.0,stars,"Ciutat Vella, Barcelona","Twin Room with Balcony
2 twin beds
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site"
Catalonia Gracia,1318.0,8.5,2814.0,4.0,stars,"Eixample, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
One Shot Aragó,1343.0,8.6,1585.0,3.0,stars,"Eixample, Barcelona","Economy Double or Twin Room
2 twin beds
Free cancellation
Only 7 rooms left at this price on our site"
Golden Hotel Barcelona,1260.0,8.3,2474.0,4.0,stars,"Sant Martí, Barcelona","Twin Room
Beds: 1 double or 2 twins
Free cancellation"
NH Sants Barcelona,1094.0,8.6,2852.0,4.0,stars,"Les Corts, Barcelona","Standard Double or Twin Room
Beds: 1 double or 2 twins"
Pol & Grace Hotel,1056.0,8.2,2548.0,4.0,stars,"Sarrià-St. Gervasi, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins"
