hotel_name,price_euros,rating,neighborhood
Relais & Châteaux Hotel Orfila,4.186,9.3,"Chamberí, Madrid"
B&B HOTEL Madrid Carabanchel,479.0,9.2,"Carabanchel, Madrid"
Market Martinez de la Riva I,448.0,6.9,"Puente de Vallecas, Madrid"
Apartamentos Adelfas,496.0,7.6,"Retiro, Madrid"
Apartamentos Villablino Arturo Soria,801.0,7.8,"Ciudad Lineal, Madrid"
Apartamentos Juan Bravo,828.0,8.4,"Salamanca, Madrid"
Elba Madrid Alcalá,971.0,8.9,"San Blas, Madrid"
Espahotel Plaza Basílica,960.0,8.5,"Tetuán, Madrid"
1 bedroom 1 bathrooms furnished - Delicias Atocha - bright - MintyStay,639.0,8.1,"Arganzuela, Madrid"
Espahotel Gran Vía,1.017,8.3,"Centro de Madrid, Madrid"
4C Bravo Murillo,800.0,8.2,"Tetuán, Madrid"
Hostal Adis,1.142,8.4,"Centro de Madrid, Madrid"
Dear Hotel Madrid,1.735,8.8,"Centro de Madrid, Madrid"
Lemon Apartment & Hotels Bernabeu,1.928,9.4,"Tetuán, Madrid"
Titanic Dreams,525.0,7.1,"Ciudad Lineal, Madrid"
OLBLANC Plaza de España by Batuecas,1.289,8.7,"Moncloa - Aravaca, Madrid"
Private Rooms Madrid Retiro,1.029,,"Retiro, Madrid"
Apartamento estudio en el centro de Madrid,487.0,,"Tetuán, Madrid"
Zenit Abeba,1.233,8.8,"Salamanca, Madrid"
Agumar,963.0,8.1,"Retiro, Madrid"
Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña,1.247,6.3,"Centro de Madrid, Madrid"
"En Madrid, a unos minutos del aeropuerto airport Barajas, Plenilunio, estadio de fútbol Metropolitano, Feria de Madrid, Clínica Navarra",631.0,9.2,"San Blas, Madrid"
Hostal Macarena,840.0,8.4,"Centro de Madrid, Madrid"
CavaBajaSuites,1.933,9.5,"Centro de Madrid, Madrid"
CavaBajaSuites 2,1.953,9.4,"Centro de Madrid, Madrid"
L&G Madrid Apartments,1.979,8.6,"Arganzuela, Madrid"
La Latina Premium Home,4.198,8.2,"Centro de Madrid, Madrid"
Bright new and wide- 1Bd 1Bth- Delicias,716.0,8.0,"Arganzuela, Madrid"
Vértice Roomspace,938.0,8.0,"Villaverde, Madrid"
Apartamentos Cuatro Caminos,713.0,8.4,"Tetuán, Madrid"
Sercotel Togumar,938.0,8.4,"Chamartín, Madrid"
Petit Palace Arturo Soria Alcalá,1.28,8.7,"Ciudad Lineal, Madrid"
Alojamiento Familiar The Greenhouse Madrid,680.0,9.9,"Latina, Madrid"
Modern apartment-1Bedroom 1Bathroom-Tetuán,666.0,7.6,"Tetuán, Madrid"
JUAN BRAVO Apartamento a estrenar con PISCINA,1.589,9.5,"Salamanca, Madrid"
AC Hotel Madrid Feria by Marriott,1.089,8.6,"Hortaleza, Madrid"
Zleep Madrid Airport,678.0,8.3,"San Blas, Madrid"
Inmejorable Ubicación en Madrid,737.0,7.2,"Salamanca, Madrid"
Hostal Goyal Pizarro,841.0,8.0,"Centro de Madrid, Madrid"
1 bedroom 1 bathroom furnished - Salamanca - Stylish WTerrace - MintyStay,1.053,9.3,"Salamanca, Madrid"
Ilunion Suites Madrid,954.0,8.5,"Chamartín, Madrid"
Plaza Mayor Suites & Apartments,1.137,8.9,"Centro de Madrid, Madrid"
AC Hotel Avenida de América by Marriott,1.267,8.8,"Salamanca, Madrid"
Exe Plaza,1.023,8.7,"Tetuán, Madrid"
Horoko Apartments by Gaiarooms,802.0,8.1,"Tetuán, Madrid"
Cozy apartment-1Bedroom 1Bathroom-Salamanca,864.0,9.0,"Salamanca, Madrid"
Hostal Marlasca,977.0,8.3,"Centro de Madrid, Madrid"
ARTIEM Madrid,1.1,9.4,"Ciudad Lineal, Madrid"
Ilunion Atrium,972.0,8.5,"Ciudad Lineal, Madrid"
Aparto-Hotel Rosales,901.0,8.9,"Moncloa - Aravaca, Madrid"
Apartamentos Las Torres,1.038,8.7,"Tetuán, Madrid"
Preciados,1.366,8.9,"Centro de Madrid, Madrid"
Hostal Sol Los Angeles,977.0,7.9,"Centro de Madrid, Madrid"
Hostal New Dream Madrid,616.0,7.9,"Centro de Madrid, Madrid"
Hostal Art Madrid,927.0,8.9,"Centro de Madrid, Madrid"
NH Madrid Ribera del Manzanares,1.049,8.6,"Arganzuela, Madrid"
Ilunion Alcalá Norte,1.086,8.9,"San Blas, Madrid"
Abba Madrid,1.22,8.7,"Salamanca, Madrid"
