hotel_name,price_euros,rating,neighborhood
Hotel Roger de Llúria,1713.0,8.3,"Eixample, Barcelona"
Hostal Orleans,631.0,8.7,"Ciutat Vella, Barcelona"
Apartment Gràcia- Parc Güell by Interhome,1013.0,9.0,"Gràcia, Barcelona"
Aspasios Charming Flats,1055.0,8.6,"Eixample, Barcelona"
ZOOROOMS Boutique Guesthouse,1054.0,9.1,"Eixample, Barcelona"
Hotel Raval House,1215.0,8.2,"Ciutat Vella, Barcelona"
Hotel Viladomat,1127.0,7.6,"Eixample, Barcelona"
Hotel Rialto,1230.0,8.5,"Ciutat Vella, Barcelona"
Barcelona House,1124.0,8.0,"Ciutat Vella, Barcelona"
Hotel Concordia Barcelona,1418.0,8.3,"Sants-Montjuïc, Barcelona"
Ramblas Hotel,998.0,7.3,"Ciutat Vella, Barcelona"
Hotel SB Glow 4 Sup,1163.0,8.3,"Sant Martí, Barcelona"
Ciutat Vella,1172.0,8.0,"Ciutat Vella, Barcelona"
My Address in Plaza Real,1147.0,7.9,"Ciutat Vella, Barcelona"
Charmsuites Paralel,1095.0,7.7,"Sants-Montjuïc, Barcelona"
Casa Bella Gracia by Aspasios,1124.0,8.4,"Gràcia, Barcelona"
Up Suites BCN,1558.0,8.9,"Eixample, Barcelona"
Leonardo Boutique Hotel Barcelona Sagrada Familia,1016.0,8.7,"Sant Martí, Barcelona"
Fisa Rentals Ramblas Apartments,1465.0,8.7,"Eixample, Barcelona"
Catalonia Albeniz,1307.0,8.4,"Sant Martí, Barcelona"
Barcelona Mercaders Apartments,1505.0,8.0,"Ciutat Vella, Barcelona"
Apartaments Sant Jordi Fontanella,1349.0,8.0,"Eixample, Barcelona"
Ecozentric,948.0,7.4,"Eixample, Barcelona"
Grupotel Gravina,1190.0,8.4,"Ciutat Vella, Barcelona"
Hotel Continental Palacete,1854.0,8.5,"Eixample, Barcelona"
Occidental Barcelona 1929,1445.0,8.8,"Sants-Montjuïc, Barcelona"
Weflating Suites Sant Antoni Market,1324.0,8.6,"Eixample, Barcelona"
Grupotel Gran Via 678,1430.0,8.4,"Eixample, Barcelona"
Hotel Lloret Ramblas,1206.0,8.1,"Ciutat Vella, Barcelona"
Hotel Annex - Rey Don Jaime I,861.0,7.3,"Ciutat Vella, Barcelona"
Hostalin Barcelona Passeig de Gracia,1017.0,7.4,"Eixample, Barcelona"
Mihlton Barcelona Boutique B&B,1164.0,8.7,"Eixample, Barcelona"
Gaudi Sagrada Familia,1529.0,7.6,"Eixample, Barcelona"
Charmsuites Nou Rambla,1095.0,7.5,"Sants-Montjuïc, Barcelona"
Atica Apartments - by Weflating,966.0,7.6,"Horta-Guinardó, Barcelona"
Aspasios Arc de Triomf Apartments,1664.0,9.2,"Eixample, Barcelona"
Catalonia Diagonal Centro,1658.0,8.7,"Eixample, Barcelona"
Residencia Universitaria Campus del Mar,1005.0,7.9,"Ciutat Vella, Barcelona"
Hotel Suizo,1230.0,8.6,"Ciutat Vella, Barcelona"
Leonardo Hotel Barcelona Gran Via,1268.0,8.6,"Eixample, Barcelona"
Acta Antibes,1076.0,8.5,"Eixample, Barcelona"
H10 Raco del Pi,1570.0,8.7,"Ciutat Vella, Barcelona"
Magatzem 128,1372.0,8.7,"Eixample, Barcelona"
