city,hotel_name,price_euros_first,price_euros_second,rating,num_reviews,quality_over_5,amen,apartamento,art,atocha,attract,bar,baraja,bathroom,bedroom,boast,box,breakfast,bright,buffet,build,car,castellana,central,centro,chamartin,channel,close,coffe,come,comfort,complex,connect,consist,continent,conveni,cuisin,daili,day,debod,decor,deposit,design,dine,dishwash,district,drink,drive,dryer,easi,eleg,enjoy,entranc,everi,extra,facil,famili,famou,fit,floor,foot,fridg,fulli,garden,gym,hair,hairdryer,heart,heat,histor,hostal,hotel,ideal,ifema,includ,inform,kettl,kitchenett,lift,live,locat,loung,madrid,main,mani,menu,mercado,microwav,miguel,minibar,near,nearbi,nearest,nonsmok,onsit,option,outdoor,oven,paid,paseo,point,pool,prado,public,railway,reach,recent,recept,reina,relax,renov,request,retiro,royal,safe,safeti,salamanca,san,santiago,satellit,season,seat,select,serv,servic,share,shop,short,shuttl,sightse,snack,sofia,soundproof,spaciou,spanish,squar,stadium,staff,stay,stop,street,suit,surround,swim,tapa,templ,terrac,toaster,toiletri,toledo,tour,train,triangl,view,wardrob,wash,wooden,avenu,barcelona,barceloneta,bath,batllo,beach,boqueria,boulevard,boutiqu,buse,camp,catalan,catalana,catalonia,cathedr,cocktail,contemporari,diagon,direct,eixampl,familia,fountain,gaudi,gothic,hire,hob,langel,larg,luggag,magic,mar,maria,market,mediterranean,miquel,montjuic,museum,musica,nou,nova,palau,park,pedrera,picasso,plaza,port,portal,quarter,rambla,reial,rental,rooftop,sagrada,sant,santa,sauna,separ,shower,site,smart,sofa,somorrostro,spa,storag,theatr,tivoli,use
"Madrid, Community of Madrid",#10OCA6 - Apartamento en Vista Alegre,601.0,601.0,6.9,22.0,3.0,0.0,3.3807028722579977,0.0,2.5790750487039826,0.0,0.0,0.0,0.0,2.7745670686876824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9560670171615597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882456030698867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.869877248492007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85745472849345,0.0,0.0,0.0,0.0,0.0,0.0,2.3998736192462715,0.0,2.3767065599647372,0.0,0.0,0.0,0.0,2.6567840330312986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2149512807522598,0.0,0.0,0.0,2.3102614605565845,0.0,0.0,0.0,3.108769156774356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.821087084322575,0.0,2.6467336971777975,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Community of Madrid",1881 Madrid Ventas Hotel,1000.0,1139.0,8.9,1395.0,4.0,0.0,0.0,0.0,0.0,0.0,2.241268589069633,0.0,0.0,0.0,0.0,3.5142342648825204,2.331922957337764,0.0,2.7520942128356234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8846080531794147,0.0,0.0,0.0,0.0,0.0,0.0,3.5142342648825204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2629198366016143,0.0,0.0,0.0,0.0,3.1410300189925775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157559320943788,0.0,0.0,0.0,2.6567840330312986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2479575772204297,0.0,0.0,3.5142342648825204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5142342648825204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3006601645844613,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Community of Madrid",2 bedrooms 1 bathroom furnished - Las Letras - Bright - MintyStay,1099.0,1658.0,7.5,28.0,3.0,0.0,0.0,0.0,2.5790750487039826,0.0,0.0,0.0,0.0,5.549134137375365,0.0,0.0,0.0,3.640985970521664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882456030698867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4897299483681326,0.0,0.0,2.869877248492007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3998736192462715,2.407716796707297,2.3767065599647372,0.0,2.2479575772204297,0.0,0.0,2.6567840330312986,0.0,0.0,0.0,3.0034086411165295,0.0,0.0,2.3615547549441347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2546916094017737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3102614605565845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.384369432710306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6467336971777975,0.0,0.0,0.0,3.1410300189925775,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Community of Madrid",4C Bravo Murillo,705.0,800.0,8.2,5764.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.360083585055262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7255433585497273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5142342648825204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5979435330083653,0.0,2.9614444420174975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2479575772204297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.563024429051952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.498313692059524,0.0,0.0,0.0,0.0,3.640985970521664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Community of Madrid",5 Calle Álamo,2245.0,2245.0,,,,3.7861679803661623,0.0,0.0,0.0,0.0,0.0,0.0,3.360083585055262,2.7745670686876824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2088526153313386,2.4156219762144104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.569772656041669,0.0,0.0,0.0,3.174366439260169,3.108769156774356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4897299483681326,0.0,0.0,0.0,0.0,3.538331816461581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.407716796707297,0.0,0.0,2.2479575772204297,0.0,0.0,2.6567840330312986,0.0,3.9560670171615597,0.0,3.0034086411165295,0.0,0.0,2.3615547549441347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2149512807522598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6143177234395027,0.0,0.0,3.563024429051952,0.0,0.0,0.0,0.0,0.0,3.093020799806217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5790750487039826,2.4156219762144104,0.0,0.0,0.0,0.0,0.0,0.0,5.195887066016731,0.0,3.1410300189925775,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Community of Madrid",60 Balconies Design,2957.0,2661.0,9.2,353.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4156219762144104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.755396321699408,0.0,0.0,0.0,0.0,10.922957911564993,0.0,3.108769156774356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.281611969613767,0.0,0.0,0.0,0.0,5.12111200187349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7859957645113047,0.0,3.2629198366016143,3.9560670171615597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.407716796707297,0.0,0.0,0.0,0.0,2.607512984024516,0.0,0.0,0.0,0.0,3.0034086411165295,0.0,0.0,0.0,0.0,2.719304390012633,0.0,0.0,0.0,0.0,2.947838789961719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6143177234395027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0622491411394632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Community of Madrid",60 Balconies Iconic,1493.0,1846.0,9.0,1374.0,4.0,0.0,0.0,0.0,2.5790750487039826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.275170140745314,0.0,2.975237764149833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.281611969613767,0.0,0.0,0.0,0.0,2.560556000936745,0.0,0.0,0.0,2.4897299483681326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2629198366016143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2479575772204297,0.0,2.607512984024516,0.0,0.0,0.0,3.445241393395569,0.0,0.0,0.0,2.3615547549441347,3.157559320943788,0.0,0.0,0.0,0.0,0.0,0.0,2.2546916094017737,0.0,0.0,0.0,2.2479575772204297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.588342237036242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4677142492476274,0.0,2.384369432710306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4156219762144104,0.0,0.0,0.0,2.821087084322575,2.6467336971777975,0.0,2.5979435330083653,0.0,3.1410300189925775,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Community of Madrid",7 Islas Hotel,1518.0,1512.0,8.8,4865.0,4.0,3.7861679803661623,0.0,0.0,0.0,0.0,2.241268589069633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.490703767472326,0.0,0.0,0.0,0.0,0.0,0.0,3.5142342648825204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.447882838432632,0.0,3.588342237036242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.719304390012633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.947838789961719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4156219762144104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Community of Madrid",AC Hotel Aitana by Marriott,1620.0,1647.0,8.8,1025.0,4.0,0.0,0.0,0.0,0.0,0.0,2.241268589069633,0.0,0.0,0.0,0.0,0.0,4.663845914675528,3.640985970521664,2.7520942128356234,0.0,0.0,7.635833357361485,0.0,0.0,0.0,3.7255433585497273,3.2088526153313386,0.0,0.0,3.7255433585497273,0.0,0.0,3.9560670171615597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882456030698867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7859957645113047,0.0,0.0,0.0,0.0,0.0,0.0,3.1410300189925775,0.0,0.0,0.0,3.8846080531794147,0.0,0.0,0.0,3.157559320943788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.176684474072484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9196993729906846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5884647890538215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6143177234395027,0.0,0.0,0.0,0.0,0.0,2.498313692059524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Community of Madrid",AC Hotel Atocha by Marriott,1309.0,1468.0,8.7,1386.0,4.0,0.0,0.0,0.0,7.737225146111948,0.0,2.241268589069633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696555821676475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.490703767472326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.560556000936745,0.0,0.0,0.0,0.0,3.3006601645844613,0.0,0.0,0.0,3.538331816461581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1410300189925775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157559320943788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.719304390012633,0.0,0.0,0.0,0.0,0.0,2.2546916094017737,0.0,0.0,0.0,0.0,0.0,3.3006601645844613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7859957645113047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.384369432710306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
