hotel_name,neighborhood,url
Hostal Orleans,"Ciutat Vella, Barcelona",https://www.booking.com/hotel/es/hostal-orleans.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=bb753fe4f630012c&srepoch=1737882354&all_sr_blocks=38790504_388371337_0_0_0&highlighted_blocks=38790504_388371337_0_0_0&matching_block_id=38790504_388371337_0_0_0&sr_pri_blocks=38790504_388371337_0_0_0__56078&from=searchresults
Passeig de Gracia Studio Loft,"Eixample, Barcelona",https://www.booking.com/hotel/es/passeig-de-gracia-studio-loft.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=bb753fe4f630012c&srepoch=1737882354&all_sr_blocks=224787501_285295188_0_0_0&highlighted_blocks=224787501_285295188_0_0_0&matching_block_id=224787501_285295188_0_0_0&sr_pri_blocks=224787501_285295188_0_0_0__153364&from=searchresults
Luxury Patio,"Sant Martí, Barcelona",https://www.booking.com/hotel/es/luxury-patio.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=bb753fe4f630012c&srepoch=1737882354&all_sr_blocks=1317540201_404482976_2_0_0&highlighted_blocks=1317540201_404482976_2_0_0&matching_block_id=1317540201_404482976_2_0_0&sr_pri_blocks=1317540201_404482976_2_0_0__62386&from=searchresults
C211 Barcelona Apartments,"Sarrià-St. Gervasi, Barcelona",https://www.booking.com/hotel/es/c211-casanova.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=bb753fe4f630012c&srepoch=1737882354&all_sr_blocks=50543405_402995429_4_0_0&highlighted_blocks=50543405_402995429_4_0_0&matching_block_id=50543405_402995429_4_0_0&sr_pri_blocks=50543405_402995429_4_0_0__162432&from=searchresults
Spacious room in central area A,"Eixample, Barcelona",https://www.booking.com/hotel/es/spacious-room-in-central-area-a.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=bb753fe4f630012c&srepoch=1737882354&all_sr_blocks=1298073401_404326798_0_0_0&highlighted_blocks=1298073401_404326798_0_0_0&matching_block_id=1298073401_404326798_0_0_0&sr_pri_blocks=1298073401_404326798_0_0_0__72695&from=searchresults
Authentic flat2 in Poble sec - Paralelo,"Sants-Montjuïc, Barcelona",https://www.booking.com/hotel/es/authentic-flat2-in-poble-sec-paralelo.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=bb753fe4f630012c&srepoch=1737882354&all_sr_blocks=179844402_343456196_2_0_0&highlighted_blocks=179844402_343456196_2_0_0&matching_block_id=179844402_343456196_2_0_0&sr_pri_blocks=179844402_343456196_2_0_0__126209&from=searchresults
Micampus Barcelona Student Residence,Barcelona,https://www.booking.com/hotel/es/micampus-barcelona.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bb753fe4f630012c&srepoch=1737882354&all_sr_blocks=879815705_357126574_0_0_0&highlighted_blocks=879815705_357126574_0_0_0&matching_block_id=879815705_357126574_0_0_0&sr_pri_blocks=879815705_357126574_0_0_0__66605&from=searchresults
Suita Born,"Ciutat Vella, Barcelona",https://www.booking.com/hotel/es/suit-place-para-lel.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=bb753fe4f630012c&srepoch=1737882354&all_sr_blocks=1300394801_402927380_2_0_0&highlighted_blocks=1300394801_402927380_2_0_0&matching_block_id=1300394801_402927380_2_0_0&sr_pri_blocks=1300394801_402927380_2_0_0__87601&from=searchresults
Private rooms,"Nou Barris, Barcelona",https://www.booking.com/hotel/es/private-rooms-barcelona.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=bb753fe4f630012c&srepoch=1737882354&all_sr_blocks=1233931107_395358728_2_0_0&highlighted_blocks=1233931107_395358728_2_0_0&matching_block_id=1233931107_395358728_2_0_0&sr_pri_blocks=1233931107_395358728_2_0_0__42700&from=searchresults
Montaber Apartments - Sagrada Familia,"Eixample, Barcelona",https://www.booking.com/hotel/es/joana-grey.html?label=gen173nr-1BCAEoggI46AdSAnVzWARoRogBAZgBMbgBGcgBD9gBAegBAYgCAagCA7gCmuTXvAbAAgHSAiQ3NGM3OTk4Ni0yY2UyLTQ1NGYtOGQwZS1lZTU4ZTdhMDAwZTHYAgXgAgE&sid=735f077cb553f5b5fb1805efac5f4fa0&aid=304142&ucfs=1&arphpl=1&checkin=2026-04-01&checkout=2026-04-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=bb753fe4f630012c&srepoch=1737882354&all_sr_blocks=182808303_326834990_4_0_0&highlighted_blocks=182808303_326834990_4_0_0&matching_block_id=182808303_326834990_4_0_0&sr_pri_blocks=182808303_326834990_4_0_0__146811&from=searchresults
