hotel_name,price_euros,rating,neighborhood
Hostal Orleans,561.0,8.7,"Ciutat Vella, Barcelona"
Passeig de Gracia Studio Loft,,9.2,"Eixample, Barcelona"
C211 Barcelona Apartments,,8.8,"Sarrià-St. Gervasi, Barcelona"
Luxury Patio,624.0,4.8,"Sant Martí, Barcelona"
Spacious room in central area A,727.0,7.8,"Eixample, Barcelona"
Authentic flat2 in Poble sec - Paralelo,,9.0,"Sants-Montjuïc, Barcelona"
Micampus Barcelona Student Residence,666.0,7.9,Barcelona
Suita Born,876.0,,"Ciutat Vella, Barcelona"
Private rooms,427.0,6.8,"Nou Barris, Barcelona"
Hostal Bejar,708.0,7.4,"Sants-Montjuïc, Barcelona"
LetsGo Diagonal Avenue Apartment,,8.2,"Sarrià-St. Gervasi, Barcelona"
Ola Living Calabria,,8.2,"Eixample, Barcelona"
Amra Barcelona Caspe,,8.3,"Eixample, Barcelona"
Amra Barcelona Gran Via,,8.5,"Eixample, Barcelona"
Montaber Apartments - Sagrada Familia,,8.5,"Eixample, Barcelona"
Apartamentos Tarradellas Sants Estació,,7.6,"Eixample, Barcelona"
Aparthotel Napols - Abapart,,8.5,"Eixample, Barcelona"
Estudio Maignon,906.0,9.4,"Gràcia, Barcelona"
ME Barcelona,,9.1,"Eixample, Barcelona"
Click&Flat Sugranyes,982.0,8.1,"Sants-Montjuïc, Barcelona"
Room Guell,392.0,,"Gràcia, Barcelona"
Hotel Nuevo Triunfo,,7.8,"Sants-Montjuïc, Barcelona"
Hermoso piso en el centro de Barcelona,,9.4,"Ciutat Vella, Barcelona"
"Zafiro, un maravilloso yate en Barcelona",762.0,10.0,Barcelona
Hotel El Palace Barcelona,,9.3,"Eixample, Barcelona"
Sunotel Central,,8.0,"Eixample, Barcelona"
Central Suites Barcelona,,8.8,"Eixample, Barcelona"
1208 - EXCLUSIVE DESIGN APARTMENT,,8.0,"Eixample, Barcelona"
Lamaro Hotel,,9.0,"Ciutat Vella, Barcelona"
Centric Apartments Paseo de Gracia,,8.0,"Eixample, Barcelona"
Sixties Ramblas,,8.4,"Ciutat Vella, Barcelona"
Lodging Apartments City Center-Eixample,,8.6,"Eixample, Barcelona"
Casa Abamita,,8.6,"Eixample, Barcelona"
Lodging Apartments Liceu G1,,8.2,"Ciutat Vella, Barcelona"
Lodging Apartments Liceu G2,,8.2,"Ciutat Vella, Barcelona"
Ndlr 2-4 · Authentic flat in Poble Sec - Paralelo,,7.6,"Sants-Montjuïc, Barcelona"
Hotel Casa Bonay,,9.0,"Eixample, Barcelona"
BruStar Gotic-Centric,,7.5,"Eixample, Barcelona"
Dudu life,,9.3,"Eixample, Barcelona"
Borrell · Near ramblas,,8.4,"Eixample, Barcelona"
Apartamento Rosellón,,9.4,"Sant Martí, Barcelona"
Ola Living MACBA,,8.2,"Ciutat Vella, Barcelona"
Three bedrooms apartment,,9.4,"Eixample, Barcelona"
The Lonely Chimney Apartments,,8.6,"Sant Martí, Barcelona"
Ola Living Born,,8.2,"Ciutat Vella, Barcelona"
Modern pad in a great old barrio,,8.7,"Sant Martí, Barcelona"
Nice apartment in Barcelona,793.0,,"Horta-Guinardó, Barcelona"
Urban Flats Vallirana,,8.5,"Sarrià-St. Gervasi, Barcelona"
Ola Living Portaferrissa,,8.4,"Ciutat Vella, Barcelona"
Ola Living Hostal Diagonal,,7.0,"Sarrià-St. Gervasi, Barcelona"
Ola Living Santa Anna,,8.2,"Ciutat Vella, Barcelona"
Ola Living Gracia,,7.3,"Gràcia, Barcelona"
"Ally's Bed&Breakfast,",,8.1,"Eixample, Barcelona"
Apartments Sata Sagrada Familia Area,,8.6,"Gràcia, Barcelona"
Josep Tarradellas 80,746.0,9.6,"Eixample, Barcelona"
Apartments Sata Olimpic Village Area,,8.9,"Sant Martí, Barcelona"
PobleNou Beach Centre,,9.1,"Sant Martí, Barcelona"
Plaza Universitat,,8.1,"Eixample, Barcelona"
Ola Living Vidreria,,7.4,"Ciutat Vella, Barcelona"
Moderno y auténtico en el corazón de Poble Sec,990.0,,"Sants-Montjuïc, Barcelona"
Catalunya,,8.2,"Ciutat Vella, Barcelona"
Ola Living Music,,8.4,"Ciutat Vella, Barcelona"
Enjoy Apartments Sofia,,7.3,"Eixample, Barcelona"
Hostal Centric,,8.9,"Eixample, Barcelona"
Close to Passeig de Gracia,,7.2,"Eixample, Barcelona"
Luxury Born,,6.8,"Ciutat Vella, Barcelona"
Alsina · Historical center - Barrio Gótico,,8.3,"Ciutat Vella, Barcelona"
Hostal Sol y K,,7.6,"Ciutat Vella, Barcelona"
Hotel Cortes Rambla,,8.1,"Ciutat Vella, Barcelona"
Palau de la Musica Apartments,,8.3,"Ciutat Vella, Barcelona"
Plaza Goya Rooms,,8.2,"Eixample, Barcelona"
Ola Living Boqueria,,8.6,"Ciutat Vella, Barcelona"
Ola Living Paseo de Gracia,,8.7,"Eixample, Barcelona"
Perfect Place For Couples In Barceloneta,,,"Ciutat Vella, Barcelona"
Fridays Flats Casa Aquamarine,,8.0,"Sant Martí, Barcelona"
BUHO Boutique Rooms,,8.3,"Eixample, Barcelona"
The 8 Boutique B&B,,7.5,"Eixample, Barcelona"
LucasLand Apartments Barcelona,,9.0,"Eixample, Barcelona"
Click&Flat Luxury cabanyes,,8.7,"Sants-Montjuïc, Barcelona"
Casa Cosi - Francoli 1,,9.0,"Sarrià-St. Gervasi, Barcelona"
Pensión Coral,,7.8,"Ciutat Vella, Barcelona"
Casa Cosi - Mallorca 3,,9.0,"Eixample, Barcelona"
1213 - Ciutadella Nice Apartment,,7.9,"Sant Martí, Barcelona"
Fridays Flats Casa Lavander,,7.3,"Sants-Montjuïc, Barcelona"
La Casa de Antonio Boutique Rooms,,8.2,"Eixample, Barcelona"
Casa Cosi - El Farro 1,,9.3,"Sarrià-St. Gervasi, Barcelona"
Casa Cosi - Sant Gervasi 1,,8.9,"Sarrià-St. Gervasi, Barcelona"
Casa Cosi - Casanova 2,,8.5,"Eixample, Barcelona"
1324 - OLYMPIC DELUXE,,7.3,"Sant Martí, Barcelona"
Enjoy Apartments Urban Retreat Valencia 4,,8.5,"Eixample, Barcelona"
Casa Cosi - Industria,,8.6,"Gràcia, Barcelona"
Casa Cosi - Eixample 5,,8.6,"Eixample, Barcelona"
Fridays Flats Villa Alba,,6.6,"Sants-Montjuïc, Barcelona"
Casa Cosi - La Gleva 3,,9.5,"Sarrià-St. Gervasi, Barcelona"
Apartments Sata Park Guell Area,,8.9,"Sarrià-St. Gervasi, Barcelona"
Casa Cosi - Terrace 1,,9.0,"Eixample, Barcelona"
Casa Cosi Letamendi,,8.7,"Eixample, Barcelona"
Casa Cosi - Eixample 2,,9.1,"Eixample, Barcelona"
Barcelona City Street,,7.2,"Sarrià-St. Gervasi, Barcelona"
Barcelona City North Hostal,,7.2,"Sarrià-St. Gervasi, Barcelona"
Cozy Apartment with Ensuite 11,,,"Eixample, Barcelona"
Casa Cosi Mallorca I,,9.3,"Eixample, Barcelona"
Casa Cosi - Casanova 6,,8.7,"Eixample, Barcelona"
1881 Barcelona Gran Rosellon Hotel,,8.0,"Eixample, Barcelona"
Casa Cosi - Casanova 1,,8.8,"Eixample, Barcelona"
Casa Cosi - Putxet 3,,8.6,"Sarrià-St. Gervasi, Barcelona"
Casa Cosi - El Farro 3,,8.4,"Sarrià-St. Gervasi, Barcelona"
Casa Cosi - Casanova 3,,9.2,"Eixample, Barcelona"
Casa Cosi Don Bajos,,8.1,"Sarrià-St. Gervasi, Barcelona"
Four Petals Barcelona Boutique Apartments,,8.4,"Ciutat Vella, Barcelona"
Casa Cosi - Putxet 1,,9.1,"Sarrià-St. Gervasi, Barcelona"
Casa PILAR Central By MyRentalHost,,8.2,"Eixample, Barcelona"
Casa Cosi - Eixample 1,,6.6,"Eixample, Barcelona"
Casa Cosi - Francoli 4,,7.6,"Sarrià-St. Gervasi, Barcelona"
Casa Cosi - La Gleva 4,,9.0,"Sarrià-St. Gervasi, Barcelona"
Casa Cosi - Casanova 5,,8.8,"Eixample, Barcelona"
1410 - Mediterranean Forum Apartment,,8.4,"Sant Martí, Barcelona"
Barcelona City Centre Hostal,,7.6,"Eixample, Barcelona"
Casa Cosi - Eixample 3,,8.4,"Eixample, Barcelona"
Canela Homes BARCELONA FONTANA,,8.3,"Gràcia, Barcelona"
1216 - Forum Gardens Apartment,,8.0,"Sant Martí, Barcelona"
Casa Cosi - Putxet 4,,7.2,"Sarrià-St. Gervasi, Barcelona"
Casa Cosi - Terrace 2,,7.5,"Eixample, Barcelona"
Cosmo Suite Penthouse,,,"Sants-Montjuïc, Barcelona"
Terrace Duplex at SAGRADA FAMILIA-GRACIA,,9.6,"Gràcia, Barcelona"
Boutique Hotel H10 Catalunya Plaza,,8.6,"Eixample, Barcelona"
Housalia Sagrada Familia,,7.8,"Eixample, Barcelona"
Click&Flat Rizal,,8.8,"Gràcia, Barcelona"
Click&Flat Stylish Torrijos,,9.1,"Gràcia, Barcelona"
Nordic apartment Sagrada Familia,,8.0,"Sant Martí, Barcelona"
Housalia Sagrada Familia Views,,9.0,"Eixample, Barcelona"
Filmoteca Sarria 1- wifi quiet bright comfi,,7.8,"Eixample, Barcelona"
Flat San Antoni Villaroel/Apartment,,8.5,"Eixample, Barcelona"
Chic 3br Retreat With Private Terrace,,7.5,"Eixample, Barcelona"
Sant Antoni 3 - Downtown Barcelona. Modern,,6.2,"Ciutat Vella, Barcelona"
Luxury Modernist Penthouse next Paseo de Gracia,,,"Eixample, Barcelona"
Sharing flats in gotico,,8.0,"Ciutat Vella, Barcelona"
Bcn - Eixample 2B · Barcelona - Eixample 2B,,6.9,"Eixample, Barcelona"
Housalia Corsega - Apartment 3 bedrooms next to Sagrada Familia,,8.3,"Eixample, Barcelona"
Housalia Gracia 2,,8.6,"Gràcia, Barcelona"
H10 Metropolitan 4* Sup,,8.9,"Eixample, Barcelona"
Mejor Apartamento en Plaza España con Parking Gratuito,,9.0,"Sants-Montjuïc, Barcelona"
Camp Nou Stadium,,9.8,"Les Corts, Barcelona"
Click&Flat Seneca Suites,,9.0,"Gràcia, Barcelona"
Housalia Ondina Suites Sagrada Familia,,8.6,"Eixample, Barcelona"
Bcn - Poble Nou,,7.1,"Sant Martí, Barcelona"
Housalia Casa del Mar en Vila Olímpica,,9.0,"Sant Martí, Barcelona"
Housalia Sant Pau Views- Suite with View on Hospital Sant Pau,,8.8,"Eixample, Barcelona"
Housalia Lepant 3 bedroom apartment 300 meters de Sagrada Familia,,8.1,"Eixample, Barcelona"
Modernist Family Barcelona apartment,,9.1,"Eixample, Barcelona"
Suite Miro Eixample Barcelona,,8.8,"Eixample, Barcelona"
Penthouse with terrace in Rambla Catalunya -Centre,,7.1,"Eixample, Barcelona"
Letsgo Camp Nou Apartment,,7.4,"Les Corts, Barcelona"
Casa a pasos de Las Ramblas,,9.0,"Sants-Montjuïc, Barcelona"
Wonderful boat for families and friends,476.0,8.1,Barcelona
SoLyLuNa,995.0,5.0,"Sants-Montjuïc, Barcelona"
Sunny Apt Barcelona 22@,,9.3,"Sant Martí, Barcelona"
Hotel Yacht Sherte,770.0,6.0,Barcelona
Sant Antoni 4 · Downtown Barcelona. Modern,,7.8,"Ciutat Vella, Barcelona"
EL BORN - Ciutat Vella - Port 5 pax 2 bedrooms,,9.9,"Ciutat Vella, Barcelona"
Amazing city viewsterrace -Gràcia -Parc Güell,,7.6,"Gràcia, Barcelona"
Gracia 1872,,9.3,"Gràcia, Barcelona"
Habitación Santa Anna,,10.0,"Ciutat Vella, Barcelona"
1201 - Encantador Apartamento en Poble Nou,,8.7,"Sant Martí, Barcelona"
Paseo St Joan classic 4BD for 10 guests,,7.4,"Eixample, Barcelona"
Ramblas Apartment 5,,9.0,"Ciutat Vella, Barcelona"
Lodging Apartments Beach Studio 11,,8.4,"Ciutat Vella, Barcelona"
Poblenou renovated 3BD next to the beach,,8.7,"Sant Martí, Barcelona"
Lodging Apartments Beach Studio 22,,8.4,"Ciutat Vella, Barcelona"
Flat Vila Olimpica Pere IV/Apartment,,6.6,"Sant Martí, Barcelona"
Housalia Gracia,,8.1,"Gràcia, Barcelona"
Barcelona Family Beach,,9.1,"Sant Martí, Barcelona"
Romantic 19th century apartment,,7.4,"Ciutat Vella, Barcelona"
Click&Flat Xoriguer,,8.7,"Sants-Montjuïc, Barcelona"
Housalia Familia Rossellon,,7.4,"Eixample, Barcelona"
My Space Emirates - Park Güell Triplex with Private Terrace,,6.2,"Sarrià-St. Gervasi, Barcelona"
Hotel Inglés,,7.6,"Ciutat Vella, Barcelona"
Classic Boat,,8.3,Barcelona
My Space Emirates - Executive Apartments with Private Balcony,,5.3,"Sarrià-St. Gervasi, Barcelona"
Cozy Apt in Residential Center by Maison Piñata,,9.0,"Gràcia, Barcelona"
Winahost Barcelona Provenza,,,"Eixample, Barcelona"
Apartment Barcelona Rentals - Park Güell Apartments,,5.6,"Sarrià-St. Gervasi, Barcelona"
My Space Barcelona Executive Apartments Center,,5.2,"Sarrià-St. Gervasi, Barcelona"
Apartment Barcelona Rentals - Sarria Apartments Near Center,,5.5,"Sarrià-St. Gervasi, Barcelona"
Habitas Stay Barcelona,,,"Eixample, Barcelona"
Comfortable 3BD in Poblenou next to the beach!,,7.8,"Sant Martí, Barcelona"
Lodging Apartments Barceloneta Mar,,7.5,"Ciutat Vella, Barcelona"
Click&Flat Luxury Sant Joan,,9.0,"Eixample, Barcelona"
Central Station Hostel Barcelona,,3.3,"Ciutat Vella, Barcelona"
Kronos on the Beach suite 1,,9.3,"Ciutat Vella, Barcelona"
Click&Flat Fontanella,,7.4,"Eixample, Barcelona"
Atic Barcelona,,8.0,"Eixample, Barcelona"
Hostal MiMi Las Ramblas,,5.3,"Ciutat Vella, Barcelona"
Renovated 4BD in Sagrada Familia!,,8.6,"Gràcia, Barcelona"
Apartment Barcelona Rentals - Penthouse with Terrace,,6.8,"Sarrià-St. Gervasi, Barcelona"
catapor habitaciones para familias,,9.3,"Ciutat Vella, Barcelona"
My Space Barcelona Park Güell Apartments,,5.7,"Sarrià-St. Gervasi, Barcelona"
Fridays Flats Charming Apartment In Clot,,8.7,"Sant Martí, Barcelona"
Atic Gaudi-Gracia,,8.6,"Gràcia, Barcelona"
Barnapartments Rambla Cataluña,,8.0,"Eixample, Barcelona"
4bedroom apart with balcony in Las Ramblas 1 1,,7.3,"Ciutat Vella, Barcelona"
Kronos on the beach Suite 4,,8.5,"Ciutat Vella, Barcelona"
Kronos on the Beach suite 3,,9.4,"Ciutat Vella, Barcelona"
Modern and bright apartment in Eixample 1-2,,8.4,"Eixample, Barcelona"
Lodging Apartments Beach Studio P1,,7.8,"Ciutat Vella, Barcelona"
My Space Emirates - Spacious Apartments near the City Center,,4.1,"Sarrià-St. Gervasi, Barcelona"
Amazing 5 bd 5 bathroom next to Plaza Catalunya,,8.0,"Eixample, Barcelona"
Paseo de Gracia modern 4BD with Terrace,,9.5,"Eixample, Barcelona"
Amazing flat in classic boat- Barcelona,,10.0,Barcelona
Modern and bright apartment in Eixample 1-3,,7.0,"Eixample, Barcelona"
Best House Best Place,,9.5,"Ciutat Vella, Barcelona"
