hotel_name,price_euros,rating,neighborhood
Le Petit Palü-Fuencarral,527.0,7.8,"Madrid City Center, Madrid"
Oasis urbano en el corazón financiero / Castellana,886.0,9.4,"Tetuan, Madrid"
Casa Real,690.0,,"Madrid City Center, Madrid"
"Apartamento Palacio Real de Madrid, histórico",826.0,8.0,"Madrid City Center, Madrid"
Colon Suites,946.0,8.1,"Madrid City Center, Madrid"
New apartment in center Madrid!,917.0,9.3,"Madrid City Center, Madrid"
Estudio Madrid Norte 2,496.0,9.1,"Fuencarral-El Pardo, Madrid"
apartamento ventas,572.0,9.2,"Ciudad Lineal, Madrid"
Apartamento centro Madrid,643.0,8.9,"Madrid City Center, Madrid"
APARTAMENTOS SAN ANDRES,803.0,7.8,"Madrid City Center, Madrid"
WM Stays Estudio Elegante,509.0,8.7,"Tetuan, Madrid"
Bonito y acogedor estudio en zona cultural,668.0,8.6,"Madrid City Center, Madrid"
RiNa MADRID apartamento1,613.0,9.8,"Moncloa-Aravaca, Madrid"
Appartement lumineux à Chamberi,611.0,9.0,"Chamberi, Madrid"
Amplio piso a 300m de Retiro,872.0,8.6,"Retiro, Madrid"
"Luminoso, cómodo y buena zona",476.0,7.9,"Moratalaz, Madrid"
Albergue Miguel Ángel,759.0,8.0,"Madrid City Center, Madrid"
Apartamento HM en Vista Alegre Madrid,461.0,8.5,"Carabanchel, Madrid"
Hostal Maria Cristina,494.0,8.7,"Madrid City Center, Madrid"
Urban rooms Fuencarral,575.0,7.0,"Madrid City Center, Madrid"
Hostal Aresol,736.0,9.0,"Madrid City Center, Madrid"
Apartamento cerca del Movistar-Arena Wizink,514.0,9.7,"Salamanca, Madrid"
CH Las Murallas,558.0,7.7,"Madrid City Center, Madrid"
"Céntrico, Gran Vía Sol Plaza Mayor",1008.0,9.1,"Madrid City Center, Madrid"
Suite privada,536.0,6.0,"Chamberi, Madrid"
Juan Bravo Suites,1432.0,8.9,"Salamanca, Madrid"
CH Chelo,568.0,7.8,"Madrid City Center, Madrid"
Castellana Suites,1285.0,8.9,"Salamanca, Madrid"
Mario's house,739.0,9.5,"Ciudad Lineal, Madrid"
Cozy apartment in Malasaña,712.0,8.8,"Madrid City Center, Madrid"
Hostal Macarena,840.0,8.4,"Madrid City Center, Madrid"
Suites recién reformadas Vista Alegre,683.0,9.2,"Carabanchel, Madrid"
"PRECIOSO ESTUDIO CON TERRAZA EN EL CORAZON DE MADRID Calle Cava Baja, 30",812.0,9.4,"Madrid City Center, Madrid"
"Elegante y espacioso, junto a la Plaza Mayor",1355.0,9.5,"Madrid City Center, Madrid"
Montaber Apartments - La Paz Market,921.0,7.7,"Salamanca, Madrid"
Fee4Me. Vallés 6,1193.0,9.6,"Arganzuela, Madrid"
Apartamento en el centro de Madrid (chueca),1616.0,8.0,"Madrid City Center, Madrid"
Madrid Centro Excepcional,920.0,,"Madrid City Center, Madrid"
Refugio 2BR y 2BA Azca/Bernabéu,947.0,9.3,"Tetuan, Madrid"
Turísticos Cuenca 3,694.0,7.8,"Tetuan, Madrid"
Precioso Estudio en Malasaña,796.0,7.6,"Madrid City Center, Madrid"
Luxury Green Hostal Madrid Gran Vía,1070.0,9.1,"Madrid City Center, Madrid"
Cerca de Plaza Tirso de Molina,686.0,7.2,"Madrid City Center, Madrid"
Apartamento 4A Atocha Delicias Madrid Rio,704.0,8.6,"Arganzuela, Madrid"
Best Location Puerta de Alcalá,724.0,,"Salamanca, Madrid"
Modern Apartment in Madrid,532.0,7.0,"Carabanchel, Madrid"
Beautiful duplex in the center,812.0,,"Madrid City Center, Madrid"
habitación en chaflán con terraza hacia la ciudad,393.0,,"Arganzuela, Madrid"
Coqueto Apartamento en Delicias,786.0,9.0,"Arganzuela, Madrid"
Estudio pequeño,487.0,8.9,"Chamartín, Madrid"
Moderna estancia con baño privado 1,536.0,9.3,"Chamberi, Madrid"
CITY SOL Madrid,732.0,9.5,"Madrid City Center, Madrid"
Velazquez Suites,1409.0,9.1,"Salamanca, Madrid"
Lemon Apartment & Hotels Bernabeu,1542.0,9.4,"Tetuan, Madrid"
AparthotelTribunal,876.0,8.9,"Madrid City Center, Madrid"
Hostal PETITE MAMAN,665.0,7.6,"Madrid City Center, Madrid"
Le Petit Palü- Barco,893.0,8.5,"Madrid City Center, Madrid"
Estudio con entrada independiente en Madrid,379.0,10.0,"Carabanchel, Madrid"
Maravilloso Loft en pleno centro de Madrid,644.0,8.3,"Madrid City Center, Madrid"
RealBites Accommodations,812.0,7.8,"Madrid City Center, Madrid"
Apartamento estudio en el centro de Madrid,487.0,,"Tetuan, Madrid"
WANDA Airport Suite,812.0,9.2,"San Blas, Madrid"
Corrala con estilo en Malasaña,510.0,10.0,"Madrid City Center, Madrid"
Encantador Tirso Molina Exterior Mesón,1028.0,7.5,"Madrid City Center, Madrid"
ILE AINA MALASAÑA,1036.0,6.9,"Madrid City Center, Madrid"
Ático de Mowgli - SOL,1210.0,9.3,"Madrid City Center, Madrid"
D1 Moderno apartamento en el centro de Madrid,914.0,10.0,"Madrid City Center, Madrid"
Piso Lacy Ile,770.0,8.4,"Arganzuela, Madrid"
Suite Estudio en Bravo Murillo,729.0,10.0,"Tetuan, Madrid"
Luz natural,964.0,7.8,"Chamartín, Madrid"
Casa Lemus,665.0,8.2,"Madrid City Center, Madrid"
Estudio Madrid 1,421.0,8.5,"Carabanchel, Madrid"
Comfy 4 rooms apt in the heart of Chueca (Madrid center),2020.0,8.3,"Madrid City Center, Madrid"
Studio Suite Tribunal,650.0,,"Madrid City Center, Madrid"
Apartamentos Matute 11,893.0,8.4,"Madrid City Center, Madrid"
Encantador Puente Segovia Caramuel,833.0,7.8,"Latina, Madrid"
Fee4Me Marques Vintage Apartment,2195.0,7.8,"Madrid City Center, Madrid"
Nersan,630.0,6.9,"Madrid City Center, Madrid"
Wonder Apartments,2214.0,8.1,"Madrid City Center, Madrid"
Micampus Salcedo Student Residence,425.0,7.6,"Fuencarral-El Pardo, Madrid"
"Casa de las Artes, member of Meliá Collection",2775.0,8.8,"Madrid City Center, Madrid"
Melia Avenida de America,1433.0,8.9,"San Blas, Madrid"
Apartamento entre Bernabeu y Barrio Salamanca,758.0,9.8,"Chamartín, Madrid"
CavaBajaSuites,2350.0,9.5,"Madrid City Center, Madrid"
Tranquilo y elegante - Cerca de IFEMA y Aeropuerto,712.0,,"Hortaleza, Madrid"
CavaBajaSuites 2,2376.0,9.4,"Madrid City Center, Madrid"
Moderna Casa de Lujo con Jacuzzi en el Jardín,2238.0,9.6,"Fuencarral-El Pardo, Madrid"
Apartamento Luna - SOLO ADULTOS,1092.0,8.7,"Chamberi, Madrid"
Hostal Madrid Sol,882.0,8.0,"Madrid City Center, Madrid"
Apartamentos con encanto en La Latina,1275.0,7.2,"Madrid City Center, Madrid"
Designer Apartment 3,1273.0,9.6,"Chamartín, Madrid"
Buhardilla en Lavapiés cerca de Atocha,514.0,8.0,"Madrid City Center, Madrid"
Carla - SVF Malasaña,599.0,,"Madrid City Center, Madrid"
Adorable apartamento recien reformado,541.0,9.5,"Carabanchel, Madrid"
Apartamento Chueca V en Madrid,1047.0,8.8,"Madrid City Center, Madrid"
madrid central gran via Suites,1296.0,7.4,"Madrid City Center, Madrid"
Apartamento Plaza de España,731.0,,"Madrid City Center, Madrid"
Flat 5 10m walk to Bernabeu Real Madrid stadium,1183.0,10.0,"Chamartín, Madrid"
Apartamento con entrada indepediente,650.0,9.5,"Madrid City Center, Madrid"
Los Ventanales Plaza Mayor,854.0,8.5,"Madrid City Center, Madrid"
ALojamiento individual con baño propio y cocina compartida,598.0,,"Chamberi, Madrid"
Nuevo Loft privado MadridRio Marques de Vadillo D,469.0,7.1,"Carabanchel, Madrid"
Apartamento Lavapies al lado del Rastro,1235.0,8.6,"Madrid City Center, Madrid"
Hostal Fuentesol,483.0,7.3,"Madrid City Center, Madrid"
Moderno apartamento en Madrid,689.0,9.4,"Vicálvaro, Madrid"
El Paseo a Madrid 169 - Junto a la Casa de Campo,828.0,9.6,"Latina, Madrid"
Apartments Central Madrid - q2home,1254.0,9.3,"Madrid City Center, Madrid"
Apartamentos Huertas,889.0,8.8,"Madrid City Center, Madrid"
Abalú Design Boutique Hotel Gran Via,1178.0,7.9,"Madrid City Center, Madrid"
SUARA Apartamentos 3,1245.0,9.5,"Madrid City Center, Madrid"
HR-Madrid-Puerta del Sol,611.0,6.5,"Madrid City Center, Madrid"
ApARTment Madrid,1147.0,9.0,"Madrid City Center, Madrid"
Las Letras Acogedor Huertas San Pedro,828.0,7.3,"Madrid City Center, Madrid"
Nuevo loft reformado M Vadillo 4pax D,794.0,7.3,"Carabanchel, Madrid"
Estudio Centro Gran Via,1109.0,8.4,"Madrid City Center, Madrid"
Le Petit Palü- Flora,851.0,7.6,"Madrid City Center, Madrid"
Apartamento amoblado en el centro de Madrid,789.0,9.9,"Carabanchel, Madrid"
Hostal Palacio Madrid,798.0,8.1,"Madrid City Center, Madrid"
Fee4Me. Amazing apartment in the heart of Lavapies,1103.0,8.0,"Madrid City Center, Madrid"
Ayala 63 - THE ARC COLLECTION,2895.0,9.3,"Salamanca, Madrid"
estudio en centro madrid,588.0,7.5,"Madrid City Center, Madrid"
Hostal Hispalense,661.0,8.3,"Madrid City Center, Madrid"
Hostal Los Alpes,840.0,8.6,"Madrid City Center, Madrid"
Estudio en Madrid,864.0,9.2,"Moncloa-Aravaca, Madrid"
Apartamentos Apolo,2380.0,8.7,"Madrid City Center, Madrid"
Madrid Rio Manzanares,837.0,9.3,"Latina, Madrid"
Cosy Bright Apt & 2BD 2BTH Salamanca &Goya,939.0,8.0,"Salamanca, Madrid"
Cosy apartamento en La Latina,504.0,6.7,"Madrid City Center, Madrid"
Apartamentos San Isidro,1284.0,8.0,"Madrid City Center, Madrid"
Encantador Madrid Val Izq,1143.0,7.5,"Tetuan, Madrid"
EXCLUSIVE BALCONY GRAN VIA iv,1081.0,9.0,"Madrid City Center, Madrid"
Melia Madrid Serrano,2053.0,8.7,"Salamanca, Madrid"
Far Home Atocha,655.0,8.6,"Madrid City Center, Madrid"
Nuevo apt Atocha Delicias Legazpi Madrid Rio 4pax - Renta temporal,621.0,4.7,"Arganzuela, Madrid"
SUARA Apartamentos 1,1895.0,9.7,"Madrid City Center, Madrid"
Alojamiento en Plaza España MAD,755.0,8.6,"Madrid City Center, Madrid"
Suite with large terrace!,536.0,,"Chamberi, Madrid"
Gran Via Experience,640.0,7.9,"Madrid City Center, Madrid"
Apartamento a 5 minutos del centro de Madrid 6P,921.0,10.0,"Latina, Madrid"
El Chato Madrid,703.0,8.6,"Latina, Madrid"
"Apartamento 3A Atocha, Delicias, Madrid Rio",704.0,9.0,"Arganzuela, Madrid"
Roisa Hostal Boutique,1229.0,8.0,"Chamartín, Madrid"
LA MADRILEÑA,998.0,8.7,"Arganzuela, Madrid"
Relax in the Heart of Madrid,536.0,2.0,"Madrid City Center, Madrid"
Prado Suite,2039.0,8.6,"Madrid City Center, Madrid"
Natura LifeStyle Hotel Gran Via,1155.0,7.8,"Madrid City Center, Madrid"
Hostal Edreira,938.0,8.7,"Madrid City Center, Madrid"
Oporto 26,505.0,,"Carabanchel, Madrid"
Woohoo Suites Madrid,1043.0,8.4,"Madrid City Center, Madrid"
Hostal Ártico,938.0,7.8,"Chamberi, Madrid"
AYZ Villegas - Auto check-in property,366.0,7.1,"Hortaleza, Madrid"
Soulhub Hostal Madrid Centro,488.0,8.0,"Madrid City Center, Madrid"
Charming Malasaña,2047.0,8.3,"Madrid City Center, Madrid"
Collection Plaza de España,1810.0,7.2,"Madrid City Center, Madrid"
Confort Moderno Encantador Loft Las Ventas,1082.0,10.0,"Ciudad Lineal, Madrid"
CH Rayuela,2520.0,8.0,"Madrid City Center, Madrid"
Malasaña Suite,2287.0,8.1,"Madrid City Center, Madrid"
Madrid Downtown Flat,650.0,7.0,"Madrid City Center, Madrid"
Madrid House Rooms,1026.0,7.6,"Madrid City Center, Madrid"
Hostal Cervelo,2231.0,8.6,"Madrid City Center, Madrid"
Loft las letras,1961.0,8.1,"Madrid City Center, Madrid"
Suite Paradise Centro Madrid,666.0,1.0,"Madrid City Center, Madrid"
Spacious apartment near to Santiago Bernabeu,1142.0,9.6,"Chamartín, Madrid"
La Casa de Postas,1693.0,6.8,"Madrid City Center, Madrid"
Reina Sofia Boutique I,2327.0,9.1,"Madrid City Center, Madrid"
Plaza España,1657.0,7.3,"Madrid City Center, Madrid"
Luminoso Madrid Javalambre,1148.0,8.6,"Puente de Vallecas, Madrid"
MOLINA - LA LATINA,772.0,7.1,"Madrid City Center, Madrid"
Apartamento Confort Plaza de España,780.0,5.0,"Madrid City Center, Madrid"
Madrid Top View,4433.0,9.7,"Madrid City Center, Madrid"
1881 Madrid Ventas Hotel,6993.0,8.9,"Ciudad Lineal, Madrid"
"Flat in Madrid Malasaña, Plaza España",458.0,,"Madrid City Center, Madrid"
Woohoo Rooms Chueca,1303.0,9.2,"Madrid City Center, Madrid"
Hostal Nersan2,536.0,6.7,"Chamberi, Madrid"
Hermosilla A,650.0,8.0,"Salamanca, Madrid"
Ilunion Alcalá Norte,52495.0,8.9,"San Blas, Madrid"
Madrid Boutique Apartment,4668.0,9.2,"Ciudad Lineal, Madrid"
Hellenhost - Gran Vía,5985.0,8.9,"Madrid City Center, Madrid"
SabiaNatura - boutiqueMadrid,4153.0,7.8,"Madrid City Center, Madrid"
Dobo Homes - PA4,949.0,7.9,"Chamartín, Madrid"
Charming Reina Sofía,1206.0,8.0,"Madrid City Center, Madrid"
Woohoo Rooms Boutique Luna,1335.0,9.4,"Madrid City Center, Madrid"
"Suite Home Madrid, Piso Apartamento en el centro de Madrid",917.0,9.0,"Madrid City Center, Madrid"
Aeropuerto Madrid Wanda,763.0,8.6,"San Blas, Madrid"
The Match Madrid,6160.0,8.3,"Chamberi, Madrid"
Wonderful Apartment Chueca,3959.0,7.9,"Madrid City Center, Madrid"
Ilunion Pio XII,52495.0,8.7,"Chamartín, Madrid"
Hostal Alfaro,3500.0,8.3,"Madrid City Center, Madrid"
Hostal Abril Madrid,872.0,8.5,"Madrid City Center, Madrid"
dPLACE To Be - Exclusive Apartments in Historic Center,1898.0,8.1,"Madrid City Center, Madrid"
Hispano Gran Vía,3675.0,8.3,"Madrid City Center, Madrid"
Hostal Arenal Madrid,3633.0,8.3,"Madrid City Center, Madrid"
Ilunion Suites Madrid,52495.0,8.5,"Chamartín, Madrid"
Hostal Evoke Madrid,6300.0,9.0,"Madrid City Center, Madrid"
La Estación de Atocha,1223.0,7.6,"Arganzuela, Madrid"
Santa Cruz,2866.0,8.6,"Madrid City Center, Madrid"
Ilunion Atrium,52495.0,8.5,"Ciudad Lineal, Madrid"
Hostal Carracedo,3185.0,8.7,"Madrid City Center, Madrid"
Hostal Art Madrid,13860.0,8.9,"Madrid City Center, Madrid"
Hostal Rober,7000.0,8.2,"Madrid City Center, Madrid"
Hostal Tokio,3500.0,7.9,"Madrid City Center, Madrid"
Lucero Madrid,800.0,7.8,"Latina, Madrid"
CH CRUZ MADRiD,3745.0,7.9,"Madrid City Center, Madrid"
Bretón de los Herreros 54,1280.0,9.0,"Chamberi, Madrid"
CC Opera Suites,6993.0,8.5,"Madrid City Center, Madrid"
Roisa Centro,1376.0,8.6,"Madrid City Center, Madrid"
Hostal La Bañezana,3500.0,7.6,"Madrid City Center, Madrid"
MAD SUITE Aeropuerto IFEMA,1025.0,9.6,"San Blas, Madrid"
Estudio sol de Madrid,637.0,7.0,"Madrid City Center, Madrid"
Exclusivo en Sol Exterior Bar,1903.0,8.1,"Madrid City Center, Madrid"
FR85 Apartment,1188.0,8.6,"Chamberi, Madrid"
CajaSoul Lavapies,704.0,,"Madrid City Center, Madrid"
Grand Latina Apartment,17590.0,7.7,"Madrid City Center, Madrid"
Charming Retiro II,1323.0,8.4,"Retiro, Madrid"
Salamanca Prestige,1175.0,8.3,"Salamanca, Madrid"
Ronda de Valencia apartamento,1015.0,7.3,"Madrid City Center, Madrid"
Dobo Homes - HOR7,1042.0,8.7,"Chamartín, Madrid"
APARTAMENTO LUXURY,1174.0,9.3,"Vicálvaro, Madrid"
Autentic Boutique Moncloa,928.0,7.8,"Chamberi, Madrid"
Oasis ii: lujo a pasos del prado,1276.0,7.7,"Madrid City Center, Madrid"
Charming Anton Martin Market,2013.0,7.5,"Madrid City Center, Madrid"
Apartamento tipo Loft,972.0,9.1,"Hortaleza, Madrid"
Duplex con terraza privada en Atocha Delicias Madrid Rio,704.0,6.5,"Arganzuela, Madrid"
Lovely balcony Madrid Center,1176.0,9.7,"Madrid City Center, Madrid"
Apartamento con encanto y luz en pleno centro,1133.0,8.4,"Chamberi, Madrid"
Centro Bernabeu Wizink Feria Aeropuerto,795.0,8.7,"Ciudad Lineal, Madrid"
Apartamento Salamanca Confort X en Madrid,855.0,7.1,"Salamanca, Madrid"
Charming Retiro Exclusive,1681.0,8.5,"Retiro, Madrid"
Estancia individual con baño privado y cocina compartida,596.0,5.5,"Chamberi, Madrid"
Apartamento 5B Atocha Delicias Madrid Rio,671.0,9.5,"Arganzuela, Madrid"
JM11SI Piso 2 dormitorios WIFI Fibra,953.0,10.0,"Chamberi, Madrid"
Luminoso apartamento en el centro de Madrid,983.0,9.3,"Tetuan, Madrid"
Apartamento 7 Atocha Delicias Madrid Rio,704.0,,"Arganzuela, Madrid"
casa tadeo gran via,455.0,6.2,"Madrid City Center, Madrid"
El Botones - Nuevo Apartamento de Diseño Barco,2243.0,8.9,"Madrid City Center, Madrid"
Dobo Homes - VN17,935.0,8.0,"Ciudad Lineal, Madrid"
Morar Apartments Malasaña,1488.0,9.1,"Madrid City Center, Madrid"
Apto con encanto en calle Ansar,503.0,,"Latina, Madrid"
Apartamento único en Lavapies,744.0,,"Madrid City Center, Madrid"
Cozy studio in Tetuan - En 1/7,1205.0,8.7,"Tetuan, Madrid"
Opera LUX,732.0,4.0,"Madrid City Center, Madrid"
estudio en el centro de Madrid,812.0,10.0,"Madrid City Center, Madrid"
Hostel Siesta & Go (Atocha),432.0,8.6,"Arganzuela, Madrid"
ILE BUENA VISTA EXTERIO,1427.0,7.3,"Madrid City Center, Madrid"
Confortable alojamiento Madrid,828.0,10.0,"Ciudad Lineal, Madrid"
Apartamento 6B Atocha Delicias Madrid Rio,704.0,,"Arganzuela, Madrid"
La Ronda de Segovia,1366.0,7.3,"Madrid City Center, Madrid"
Apartamento con encanto en ópera,1112.0,7.8,"Madrid City Center, Madrid"
Nuevo Loft Privado Marques Vadillo MadridRio Parque Comillas I,469.0,5.8,"Carabanchel, Madrid"
Urban La Latina,1365.0,7.6,"Madrid City Center, Madrid"
Mante House - Malasaña Design,2413.0,9.0,"Madrid City Center, Madrid"
Apartamentos Colón,736.0,,"Arganzuela, Madrid"
Hotel Don Luis,745.0,7.4,"Barajas, Madrid"
Chueca Exclusive,1889.0,9.1,"Madrid City Center, Madrid"
For You Rentals Apartment TEMPORAL Madrid Cava Baja-La Latina CAB36,2607.0,8.0,"Madrid City Center, Madrid"
Charming Puerta de Toledo VII - Estancias Temporales,1515.0,8.0,"Arganzuela, Madrid"
New Point Opera,1433.0,9.0,"Madrid City Center, Madrid"
Adventure Hostel Madrid,1512.0,7.7,"Madrid City Center, Madrid"
De Madrid al cielo suites con wifi y Netflix,736.0,7.8,"Hortaleza, Madrid"
Cómodo y precioso apartamento,1221.0,9.6,"Retiro, Madrid"
Ola Living Hostal Tetuan,1647.0,8.3,"Moncloa-Aravaca, Madrid"
Apartamento estudio con baño privado en el centro de Madrid,780.0,,"Latina, Madrid"
Luminoso y confortable en el centro de Madrid,1830.0,9.6,"Madrid City Center, Madrid"
Dobo Homes - ZU84,1496.0,7.6,"Chamberi, Madrid"
Madrid Total Access Apt 4 person,903.0,,"Tetuan, Madrid"
#10OCA6 - Apartamento en Vista Alegre,877.0,6.9,"Carabanchel, Madrid"
"Habitación privada, luminosa y bien comunicada",382.0,8.6,"Latina, Madrid"
Charming Circo Price,1012.0,7.6,"Madrid City Center, Madrid"
Gorgeous 2 bedroom apartment in Madrid's heart,1063.0,8.5,"Madrid City Center, Madrid"
Lucero madrid,780.0,,"Villaverde, Madrid"
Coqueto Ático (1B+1B) Malasaña City Centre,1578.0,8.7,"Madrid City Center, Madrid"
Smart Suite,417.0,8.0,"Ciudad Lineal, Madrid"
Melia Barajas,1296.0,8.5,"Barajas, Madrid"
"Apartamento amplio, luminoso y confortable CC",808.0,8.9,"San Blas, Madrid"
Charming Malasaña Attic,1195.0,8.0,"Madrid City Center, Madrid"
Dobo Homes - JO47,1056.0,8.7,"Tetuan, Madrid"
4 Bears Sharehome,1250.0,9.1,"Madrid City Center, Madrid"
Piso con piscina y garaje en zona Plenilunio,623.0,10.0,"San Blas, Madrid"
Estudio Augusto Acogedor 2,880.0,6.5,"Madrid City Center, Madrid"
Designer apartment 2,1439.0,9.7,"Chamartín, Madrid"
SUARA LOFT APARTAMENTOS,1408.0,8.8,"Madrid City Center, Madrid"
Madrid,646.0,7.7,"Madrid City Center, Madrid"
Charming Gran Vía Callao,1307.0,8.3,"Madrid City Center, Madrid"
Centro Aeropuerto Wizink Feria Bernabeu,795.0,8.5,"Ciudad Lineal, Madrid"
Hostal Hispano - Argentino Gran Vía,949.0,7.7,"Madrid City Center, Madrid"
Apartamentos Madrid-Rio,677.0,9.8,"Carabanchel, Madrid"
Habitación muy luminosa en edifico histórico,504.0,,"Arganzuela, Madrid"
AYZ Juan de Mena - Auto check-in property,614.0,7.0,"Retiro, Madrid"
piso en Vallecas,845.0,8.4,"Puente de Vallecas, Madrid"
Apto Centro Aeropuerto Feria Wizink,719.0,7.0,"Ciudad Lineal, Madrid"
Madrid luxury,866.0,5.8,"Madrid City Center, Madrid"
Urban Rooms Madrid Ventas,558.0,,"Ciudad Lineal, Madrid"
DOWN TOWN IN METRO IN 5 Station straigh WIFI AC,745.0,,"Carabanchel, Madrid"
For You Rentals Apartment TEMPORAL Madrid Paloma-La Latina PAL4,3231.0,6.8,"Madrid City Center, Madrid"
New modern Apartment Malasaña - Chueca 5 Pax,946.0,2.0,"Madrid City Center, Madrid"
Charming Cozy Lavapies,1091.0,7.8,"Madrid City Center, Madrid"
Hostal Madrid Star,1624.0,8.3,"Madrid City Center, Madrid"
"Hotel Madrid Alameda Aeropuerto, Affiliated by Meliá",1170.0,8.3,"Barajas, Madrid"
Dobo Homes - CR33,1188.0,8.3,"Chamartín, Madrid"
Aeropuerto Ifema Wanda CR,819.0,8.7,"San Blas, Madrid"
Aparment Puerta de sol,1023.0,7.1,"Madrid City Center, Madrid"
Santa Ana Plaza,2283.0,8.7,"Madrid City Center, Madrid"
Charming Madrid Styles,1833.0,8.1,"Madrid City Center, Madrid"
Hostal Abitum Madrid,586.0,7.2,"Tetuan, Madrid"
