hotel_name,neighborhood,url
The First One Madrid Preciados,"Centro de Madrid, Madrid",https://www.booking.com/hotel/es/the-first-one.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a6ce4e38ac41034b&srepoch=1737803356&all_sr_blocks=476874403_150072239_2_1_0&highlighted_blocks=476874403_150072239_2_1_0&matching_block_id=476874403_150072239_2_1_0&sr_pri_blocks=476874403_150072239_2_1_0__127305&from=searchresults
Rio Plaza en Madrid,"Usera, Madrid",https://www.booking.com/hotel/es/mit-house-rio-plaza-en-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a6ce4e38ac41034b&srepoch=1737803356&all_sr_blocks=727740007_311064434_4_0_0&highlighted_blocks=727740007_311064434_4_0_0&matching_block_id=727740007_311064434_4_0_0&sr_pri_blocks=727740007_311064434_4_0_0__87078&from=searchresults
EG14 piso 2 dormitorios WIFI Fibra AC,"Chamberí, Madrid",https://www.booking.com/hotel/es/eg14-piso-2-dormitorios-wifi-fibra-ac.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a6ce4e38ac41034b&srepoch=1737803356&all_sr_blocks=1304548101_404281018_0_0_0&highlighted_blocks=1304548101_404281018_0_0_0&matching_block_id=1304548101_404281018_0_0_0&sr_pri_blocks=1304548101_404281018_0_0_0__63500&from=searchresults
BG5 Estudio Arguelles Moncloa,"Chamberí, Madrid",https://www.booking.com/hotel/es/bg5-estudio-arguelles-moncloa.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a6ce4e38ac41034b&srepoch=1737803356&all_sr_blocks=1221859301_404281025_3_0_0&highlighted_blocks=1221859301_404281025_3_0_0&matching_block_id=1221859301_404281025_3_0_0&sr_pri_blocks=1221859301_404281025_3_0_0__50000&from=searchresults
Apartamentos EconoStay Plaza de España,"Centro de Madrid, Madrid",https://www.booking.com/hotel/es/apartamentos-econostay-plaza-de-espana.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a6ce4e38ac41034b&srepoch=1737803356&all_sr_blocks=1140143803_386876338_0_0_0&highlighted_blocks=1140143803_386876338_0_0_0&matching_block_id=1140143803_386876338_0_0_0&sr_pri_blocks=1140143803_386876338_0_0_0__55738&from=searchresults
Live it Madrid Gran Vía,"Centro de Madrid, Madrid",https://www.booking.com/hotel/es/live-it-gran-via-adults-only.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=a6ce4e38ac41034b&srepoch=1737803356&all_sr_blocks=1016300103_374117108_2_0_0&highlighted_blocks=1016300103_374117108_2_0_0&matching_block_id=1016300103_374117108_2_0_0&sr_pri_blocks=1016300103_374117108_2_0_0__41183&from=searchresults
Modern apartment-1Bedroom 1Bathroom-Tetuán,"Tetuán, Madrid",https://www.booking.com/hotel/es/modern-apartment-1bedroom-1bathroom-tetuan-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=a6ce4e38ac41034b&srepoch=1737803356&all_sr_blocks=1111579202_384413201_2_0_0&highlighted_blocks=1111579202_384413201_2_0_0&matching_block_id=1111579202_384413201_2_0_0&sr_pri_blocks=1111579202_384413201_2_0_0__57359&from=searchresults
Dobo Homes - PA4,"Chamartín, Madrid",https://www.booking.com/hotel/es/apartamento-turistico-anr-1-b-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a6ce4e38ac41034b&srepoch=1737803356&all_sr_blocks=813245001_343664190_2_0_0&highlighted_blocks=813245001_343664190_2_0_0&matching_block_id=813245001_343664190_2_0_0&sr_pri_blocks=813245001_343664190_2_0_0__54636&from=searchresults
Apartamentos EconoStay Fuencarral,"Centro de Madrid, Madrid",https://www.booking.com/hotel/es/apartamentos-econostay-fuencarral.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=a6ce4e38ac41034b&srepoch=1737803356&all_sr_blocks=1136838304_386293232_2_0_0&highlighted_blocks=1136838304_386293232_2_0_0&matching_block_id=1136838304_386293232_2_0_0&sr_pri_blocks=1136838304_386293232_2_0_0__45800&from=searchresults
TravelStep General Ricardos,"Carabanchel, Madrid",https://www.booking.com/hotel/es/travelstep-general-ricardos.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4ArL50rwGwAIB0gIkOGZlNzdlZTAtYjM2Ni00NjEwLWJjZDItYjc2NTUzNTkyZGM32AIF4AIB&sid=5ad11202ea9cc1c07c5ed8caaaf11387&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-08&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=a6ce4e38ac41034b&srepoch=1737803356&all_sr_blocks=1083275801_381245714_0_0_0&highlighted_blocks=1083275801_381245714_0_0_0&matching_block_id=1083275801_381245714_0_0_0&sr_pri_blocks=1083275801_381245714_0_0_0__44144&from=searchresults
