hotel_name,price_euros,rating,neighborhood
"Cozy loft, 5 min away from Gran Vía and Chueca",798.0,,"Centro de Madrid, Madrid"
Montaber Apartments - La Paz Market,634.0,7.7,"Salamanca, Madrid"
Hostal Alicante,402.0,7.3,"Centro de Madrid, Madrid"
LA CANTUEÑA,277.0,7.7,Madrid
Fee4Me. Vallés 6,770.0,9.6,"Arganzuela, Madrid"
apartamento ventas,572.0,9.2,"Ciudad Lineal, Madrid"
Urban Rooms Madrid Ventas,454.0,,"Ciudad Lineal, Madrid"
Madrid Centro Apartamnto Estreno,569.0,10.0,"Arganzuela, Madrid"
WM Stays Estudio Elegante,509.0,8.7,"Tetuán, Madrid"
Estudio Madrid Norte 2,496.0,9.1,"Fuencarral - El Pardo, Madrid"
Le Petit Palü-Fuencarral,527.0,7.8,"Centro de Madrid, Madrid"
Apartamento HM en Vista Alegre Madrid,479.0,8.5,"Carabanchel, Madrid"
Oasis urbano en el corazón financiero / Castellana,886.0,9.4,"Tetuán, Madrid"
Hostal Aresol,617.0,9.0,"Centro de Madrid, Madrid"
Suites recién reformadas Vista Alegre,683.0,9.2,"Carabanchel, Madrid"
"completo,céntrico y zona premium",429.0,7.2,"Salamanca, Madrid"
Urban rooms Fuencarral,575.0,7.0,"Centro de Madrid, Madrid"
Estudio con entrada independiente en Madrid,379.0,10.0,"Carabanchel, Madrid"
Spacious apartment near to Santiago Bernabeu,712.0,9.6,"Chamartín, Madrid"
Modern Apartment in Madrid,532.0,7.0,"Carabanchel, Madrid"
Dobo Homes - PA4,570.0,7.9,"Chamartín, Madrid"
CH Chelo,568.0,7.8,"Centro de Madrid, Madrid"
CH Las Murallas,558.0,7.7,"Centro de Madrid, Madrid"
Apartamento con encanto en ópera,657.0,7.8,"Centro de Madrid, Madrid"
Appartement lumineux à Chamberi,611.0,9.0,"Chamberí, Madrid"
H-A Aparthotel Hotel Quo,665.0,8.2,"Salamanca, Madrid"
Apartamento en el centro de Madrid (chueca),1.616,8.0,"Centro de Madrid, Madrid"
Hotel Atlántico,1.278,9.2,"Centro de Madrid, Madrid"
Apartamento centro Madrid,643.0,8.9,"Centro de Madrid, Madrid"
Suite privada,536.0,5.3,"Chamberí, Madrid"
Tranquilo y elegante - Cerca de IFEMA y Aeropuerto,712.0,,"Hortaleza, Madrid"
Amplio piso a 300m de Retiro,872.0,8.6,"Retiro, Madrid"
Colon Suites,946.0,8.1,"Centro de Madrid, Madrid"
Casa Real,690.0,,"Centro de Madrid, Madrid"
Plaza España RIO,552.0,7.4,"Centro de Madrid, Madrid"
habitación en chaflán con terraza hacia la ciudad,393.0,,"Arganzuela, Madrid"
Apartamentos Las Torres,924.0,8.7,"Tetuán, Madrid"
Turísticos Cuenca 3,694.0,7.8,"Tetuán, Madrid"
"Apartamento Palacio Real de Madrid, histórico",826.0,8.0,"Centro de Madrid, Madrid"
Lemon Apartment & Hotels Bernabeu,1.542,9.4,"Tetuán, Madrid"
Ile Atocha Exterior Olivar,993.0,7.3,"Centro de Madrid, Madrid"
Fee4Me. Amazing apartment in the heart of Lavapies,758.0,8.0,"Centro de Madrid, Madrid"
Albergue Miguel Ángel,759.0,8.0,"Centro de Madrid, Madrid"
Refugio 2BR y 2BA Azca/Bernabéu,947.0,9.3,"Tetuán, Madrid"
Charming Retiro II,886.0,8.4,"Retiro, Madrid"
Moderna estancia con baño privado 1,536.0,9.3,"Chamberí, Madrid"
Fee4Me Marques Vintage Apartment,1.187,7.8,"Centro de Madrid, Madrid"
