hotel_name,price_euros,rating,neighborhood
Relais & Châteaux Hotel Orfila,4186.0,9.3,"Chamberi, Madrid"
B&B HOTEL Madrid Carabanchel,479.0,9.2,"Carabanchel, Madrid"
Apartamentos Adelfas,496.0,7.5,"Retiro, Madrid"
Elba Madrid Alcalá,971.0,8.9,"San Blas, Madrid"
Apartamentos Juan Bravo,828.0,8.4,"Salamanca, Madrid"
Apartamentos Villablino Arturo Soria,801.0,7.8,"Ciudad Lineal, Madrid"
Hostal Silserranos,726.0,8.8,"Madrid City Center, Madrid"
Espahotel Plaza Basílica,960.0,8.5,"Tetuan, Madrid"
1 bedroom 1 bathrooms furnished - Delicias Atocha - bright - MintyStay,639.0,8.1,"Arganzuela, Madrid"
Hostal Macarena,840.0,8.4,"Madrid City Center, Madrid"
Plaza Mayor Suites & Apartments,1137.0,8.9,"Madrid City Center, Madrid"
4C Bravo Murillo,800.0,8.2,"Tetuan, Madrid"
Hostal Palacio Luna,905.0,8.7,"Madrid City Center, Madrid"
Dear Hotel Madrid,1735.0,8.8,"Madrid City Center, Madrid"
Zenit Abeba,1233.0,8.8,"Salamanca, Madrid"
Bright new and wide- 1Bd 1Bth- Delicias,716.0,8.0,"Arganzuela, Madrid"
CajaSoul by Caja Mágica Madrid,1060.0,9.4,"Usera, Madrid"
Market Martinez de la Riva I,448.0,6.9,"Puente de Vallecas, Madrid"
Preciados,1366.0,8.9,"Madrid City Center, Madrid"
Agumar,963.0,8.1,"Retiro, Madrid"
JUAN BRAVO Apartamento a estrenar con PISCINA,1589.0,9.5,"Salamanca, Madrid"
Catalonia Atocha,1300.0,8.8,"Madrid City Center, Madrid"
Ok Hostel Madrid,1380.0,9.0,"Madrid City Center, Madrid"
Apartamentos Cuatro Caminos,713.0,8.4,"Tetuan, Madrid"
Avenida De America Tijcal,893.0,8.6,"Salamanca, Madrid"
Hostal Adis,1142.0,8.4,"Madrid City Center, Madrid"
Lemon Apartment & Hotels Bernabeu,1928.0,9.4,"Tetuan, Madrid"
Chamberí con jardín C by RegalateMadrid,927.0,8.7,"Chamberi, Madrid"
Hostal Abel Victoriano,885.0,7.8,"Madrid City Center, Madrid"
OLBLANC Plaza de España by Batuecas,1254.0,8.7,"Moncloa-Aravaca, Madrid"
AC Hotel Avenida de América by Marriott,1267.0,8.8,"Salamanca, Madrid"
Alojamiento Familiar The Greenhouse Madrid,680.0,9.9,"Latina, Madrid"
Hotel Puerta de Toledo,828.0,8.8,"Arganzuela, Madrid"
ARTIEM Madrid,1100.0,9.4,"Ciudad Lineal, Madrid"
Apartamentos Castilla Luz Business,944.0,8.7,"Tetuan, Madrid"
Feelathome Waldorf Suites Apartments,876.0,9.0,"Chamberi, Madrid"
Axel Hotel Madrid - Adults Only,2006.0,8.3,"Madrid City Center, Madrid"
Sercotel Togumar,938.0,8.4,"Chamartín, Madrid"
MintyStay - Paseo de las Delicias,988.0,8.7,"Arganzuela, Madrid"
Feelathome Ventas Suites,879.0,8.9,"Salamanca, Madrid"
Ilunion Suites Madrid,954.0,8.5,"Chamartín, Madrid"
